Date,NoDur,Durbl,Manuf,Enrgy,Chems,BusEq,Telcm,Utils,Shops,Hlth ,Money,Other
12/31/2002,0,-0.0731,-0.0492,0.0084,-0.0138,-0.13,-0.0907,0.0385,-0.0693,-0.0405,-0.0446,-0.0631
1/31/2003,-0.0478,-0.0327,-0.0443,-0.025,-0.0326,-0.015,-0.0348,-0.0324,-0.0474,-0.0059,-0.0133,-0.0466
2/28/2003,-0.0311,-0.0507,-0.0177,0.0191,-0.0322,0.0133,-0.0644,-0.0394,-0.012,-0.0194,-0.0306,-0.0113
3/31/2003,-0.0267,-0.0277,-0.0104,0.0151,0.0619,-0.0094,-0.0057,0.043,0.0463,0.0379,0.0001,0.0321
4/30/2003,0.047,0.152,0.068,-0.0046,0.0558,0.093,0.1117,0.0728,0.0896,0.0432,0.1122,0.1265
5/30/2003,0.0922,0.0284,0.0612,0.0861,0.0183,0.0966,0.0622,0.101,0.0342,0.039,0.0572,0.0413
6/30/2003,0.0157,0.0268,0.0174,-0.0098,-0.0186,0.0026,0.0196,0.0073,0.0343,0.0412,0.0059,0.0162
7/31/2003,-0.0233,0.0654,0.0589,-0.0257,0.0306,0.0565,-0.0163,-0.0519,0.0332,0.006,0.0453,0.0144
8/29/2003,0.0066,0.0781,0.0575,0.0613,0.007,0.061,0.0136,0.0192,0.0676,-0.0254,-0.0074,0.0369
9/30/2003,0.0111,-0.0414,-0.0514,-0.0215,-0.0055,-0.0091,-0.0566,0.0387,-0.0453,0.0024,0.0065,-0.0041
10/31/2003,0.0559,0.0704,0.1054,0.0164,0.0545,0.0824,0.0669,0.0155,0.0903,0.0073,0.0706,0.0507
11/28/2003,0.0378,0.031,0.0272,0.0063,0.0074,0.0187,-0.006,0.0095,0.0057,0.0163,0.0072,0.0173
12/31/2003,0.0331,0.1234,0.0721,0.1356,0.0563,0.0215,0.0735,0.0581,-0.0213,0.0569,0.0427,0.0459
1/30/2004,0.0013,-0.0122,-0.008,0.0024,-0.0029,0.0444,0.0143,0.0191,0.0045,0.0304,0.0334,0.0142
2/27/2004,0.0428,-0.0012,0.0158,0.0453,0.0294,-0.0295,-0.0077,0.0209,0.0608,0.0091,0.0279,-0.0005
3/31/2004,-0.003,-0.0119,-0.0055,-0.0002,0.004,-0.0251,-0.0241,0.0118,0.003,-0.039,-0.0065,-0.005
4/30/2004,0.0151,0.0236,-0.0085,0.0262,0.0137,-0.0491,-0.0049,-0.0352,-0.0268,0.0358,-0.0457,-0.021
5/31/2004,-0.0219,-0.0163,0.0179,0.0063,0.0124,0.0484,-0.0289,0.0125,0.0027,-0.0038,0.0186,0.021
6/30/2004,0.0187,0.0504,0.0621,0.0537,0.0347,0.0267,0.006,0.0203,0.0007,-0.0038,0.006,0.0348
7/30/2004,-0.0583,-0.0464,-0.0396,0.0335,-0.0432,-0.0851,-0.0133,0.0105,-0.0398,-0.0587,-0.0231,-0.027
8/31/2004,0.0082,-0.0222,0.0006,-0.0134,0.042,-0.0455,0.013,0.0367,-0.0115,0.0167,0.0314,-0.0068
9/30/2004,-0.0176,0.023,0.0293,0.0877,-0.0026,0.034,0.0134,0.0138,0.0258,-0.0142,0.0021,0.0366
10/29/2004,0.0286,-0.03,-0.0128,0.0063,-0.0161,0.0515,0.0335,0.0425,0.0308,-0.024,0.0057,0.0259
11/30/2004,0.0452,0.0728,0.077,0.0652,0.0596,0.0574,0.0353,0.0489,0.0361,0.0066,0.0467,0.0544
12/31/2004,0.048,0.0487,0.0212,-0.0227,0.0353,0.0311,0.0428,0.0248,0.0343,0.0566,0.0423,0.0477
1/31/2005,-0.0008,-0.0702,-0.02,0.0298,-0.0116,-0.0635,-0.0417,0.0178,-0.0108,-0.0405,-0.0212,-0.0311
2/28/2005,0.0061,-0.0024,0.0404,0.1936,0.0409,0.0005,-0.0029,0.0235,0.0086,0.0248,-0.0027,0.0119
3/31/2005,-0.0088,-0.0798,-0.0165,-0.035,-0.0093,-0.0252,-0.0012,0.0064,0,-0.0041,-0.0323,-0.0063
4/29/2005,-0.0102,-0.1113,-0.0512,-0.0564,-0.0394,-0.0445,-0.0198,0.0214,-0.0535,0.0395,-0.0092,-0.0306
5/31/2005,0.0226,0.0882,0.0404,0.0207,0.005,0.0825,0.0146,0.0163,0.0639,0.0145,0.0333,0.0338
6/30/2005,-0.0161,0.0208,-0.0067,0.0571,-0.0217,-0.0171,0.0017,0.0557,0.0246,-0.0057,0.0247,-0.0064
7/29/2005,0.0237,0.0542,0.0649,0.0612,0.0428,0.06,0.0298,0.0296,0.0584,0.0373,0.0174,0.0425
8/31/2005,0.0003,-0.0292,-0.0057,0.057,-0.0334,-0.0041,-0.0113,0.0123,-0.0556,-0.0033,-0.0145,-0.0226
9/30/2005,0.0005,-0.0513,0.0105,0.0726,0.0019,0.0079,-0.0151,0.0438,-0.0175,-0.0195,0.0119,0.0152
10/31/2005,-0.0218,-0.044,-0.0332,-0.1017,-0.0063,-0.0156,-0.031,-0.0685,0.0162,-0.0325,0.0252,-0.013
11/30/2005,0.0116,0.0224,0.0663,0.0104,0.0266,0.0657,0.0256,-0.0021,0.04,0.0157,0.0452,0.0589
12/30/2005,0.0013,-0.0067,0.0154,0.0046,0.0122,-0.0191,-0.0158,0.0123,-0.0061,0.024,0.003,-0.002
1/31/2006,0.0023,0.0586,0.0612,0.1255,0.0292,0.0399,0.0372,0.0302,0.0198,0.0215,0.0131,0.0235
2/28/2006,0.0128,-0.0048,0.0153,-0.0813,0.0034,-0.0122,0.0331,0.0023,0.0144,0.0107,0.0161,-0.0007
3/31/2006,0.013,0.0271,0.0434,0.0397,0.001,0.0297,0.0183,-0.0362,0.0241,-0.0096,0.0064,0.0443
4/28/2006,0.0117,0.0031,0.0463,0.0467,0.0256,-0.0105,0.0168,0.0185,-0.0166,-0.0193,0.028,0.0101
5/31/2006,0.0184,0.0069,-0.0347,-0.0339,-0.0302,-0.0695,-0.0026,0.0151,-0.0193,-0.0218,-0.0361,-0.0306
6/30/2006,-0.0003,0.0179,-0.0058,0.0282,-0.0027,-0.0122,0.0286,0.024,0.0027,-0.0014,-0.0039,-0.0023
7/31/2006,0.0349,-0.0296,-0.0455,0.0514,-0.0165,-0.0388,0.0249,0.0488,-0.0429,0.0427,0.0129,-0.0592
8/31/2006,0.0309,0.0243,0.0036,-0.0319,0.0576,0.0734,0.0211,0.0232,0.022,0.0229,0.015,0.0197
9/29/2006,-0.0031,0.0426,0.0201,-0.0376,0.0176,0.0363,0.034,-0.0211,0.0569,0.0167,0.0363,0.027
10/31/2006,0.0259,0.0499,0.0455,0.0522,0.0415,0.0432,0.0529,0.0534,0.0398,0.0166,0.0206,0.0447
11/30/2006,0.0144,0.018,0.0463,0.0856,0.0129,0.0306,0.0079,0.0299,-0.0126,0.0005,0.0096,0.0308
12/29/2006,0.0198,-0.008,0.0006,-0.0203,0.0148,-0.0101,0.0429,0.0067,0.0147,0.0008,0.0384,0.0198
1/31/2007,0.0135,0.0283,0.0326,-0.0124,0.03,0.021,0.0279,0.004,0.0365,0.035,0.0043,0.0245
2/28/2007,-0.0179,-0.0048,0.0105,-0.0214,0.0026,-0.0248,-0.0264,0.0419,-0.0059,-0.028,-0.0252,-0.0177
3/30/2007,0.0247,-0.0103,0.0193,0.0591,0.0089,0.0085,0.0233,0.043,0.0075,-0.0021,-0.0036,-0.0023
4/30/2007,0.0374,0.0612,0.0538,0.052,0.0234,0.0491,0.0194,0.0394,0.0227,0.0684,0.0367,0.0282
5/31/2007,0.0281,0.0315,0.0616,0.0705,0.0167,0.0391,0.0713,0.0119,0.0241,0.0112,0.0291,0.0412
6/29/2007,-0.0086,0.0192,-0.0058,0.0087,-0.0087,0.0061,-0.0172,-0.0479,-0.0195,-0.034,-0.0358,-0.0102
7/31/2007,-0.0426,-0.0576,-0.0007,-0.011,0.0005,-0.0101,-0.031,-0.0381,-0.0537,-0.0398,-0.0758,-0.0126
8/31/2007,0.0183,-0.0173,-0.0019,0.003,0.0279,0.0287,-0.0087,0.0201,0.014,0.0225,0.0153,-0.0023
9/28/2007,0.0376,0.0176,0.0498,0.0782,0.0635,0.043,0.0212,0.0351,-0.0071,0.0355,0.0195,0.0413
10/31/2007,0.022,0.0098,0.0048,0.0278,0.0224,0.0709,-0.0213,0.0674,0.0107,0.0155,-0.0137,0.0226
11/30/2007,0.0104,-0.0901,-0.0405,-0.0435,0.0025,-0.0747,-0.0656,-0.0058,-0.0377,0.0003,-0.0617,-0.0647
12/31/2007,-0.0111,-0.0226,0.007,0.0764,0.0155,0.0147,-0.0038,0.0093,-0.0272,-0.0407,-0.0406,-0.028
1/31/2008,-0.0495,-0.0537,-0.0746,-0.091,-0.0724,-0.126,-0.0781,-0.0694,-0.0043,-0.0455,-0.0114,-0.0353
2/29/2008,-0.0022,-0.0594,-0.0022,0.0681,0.0267,-0.0381,-0.0368,-0.0306,-0.0485,-0.0091,-0.1081,-0.0348
3/31/2008,0.0118,-0.0417,-0.007,-0.0297,0.014,0.006,-0.002,0.0084,0.0188,-0.018,-0.0383,0.021
4/30/2008,-0.0138,0.0671,0.0615,0.107,0.0273,0.0687,0.0464,0.0631,0.0517,0.0042,0.0562,0.0005
5/30/2008,0.0367,0.0128,0.042,0.0417,0.0161,0.056,0.0486,0.0354,0.0104,0.0163,-0.0409,0.0065
6/30/2008,-0.0737,-0.1956,-0.1093,0.027,-0.059,-0.0893,-0.1095,-0.0052,-0.081,-0.03,-0.1742,-0.1034
7/31/2008,0.0191,-0.0016,-0.02,-0.1557,0.0322,-0.0093,-0.0295,-0.0714,0.0115,0.0677,0.0679,0.0076
8/29/2008,0.0192,0.0184,0.0155,-0.0002,0.0138,0.0243,0.039,-0.0044,0.0538,0.018,-0.0007,0.0107
9/30/2008,-0.0296,-0.0898,-0.1553,-0.1199,-0.0918,-0.1257,-0.1277,-0.1197,-0.0577,-0.0595,-0.043,-0.1117
10/31/2008,-0.122,-0.3293,-0.2365,-0.1653,-0.1561,-0.1794,-0.1622,-0.1111,-0.1511,-0.1095,-0.2014,-0.2074
11/28/2008,-0.0673,-0.1031,-0.0804,0.0028,-0.0748,-0.1107,-0.0231,0.0123,-0.0768,-0.0736,-0.1395,-0.0897
12/31/2008,0.003,0.001,0.0362,-0.0237,-0.0211,0.0218,0.0356,-0.0206,0.0491,0.0674,0.0162,0.0106
1/30/2009,-0.0363,-0.1381,-0.0937,-0.0354,-0.0884,-0.0307,-0.0996,-0.0082,-0.0762,-0.0219,-0.2089,-0.1373
2/27/2009,-0.0759,-0.1245,-0.1578,-0.1245,-0.0976,-0.0499,-0.0705,-0.1259,-0.031,-0.0993,-0.1467,-0.1311
3/31/2009,0.0638,0.1176,0.0875,0.0394,0.0597,0.1139,0.0763,0.0278,0.0995,0.0704,0.1429,0.1089
4/30/2009,0.0479,0.4527,0.2081,0.0444,0.1164,0.124,0.1034,0.0208,0.0955,-0.0095,0.171,0.1538
5/29/2009,0.0675,-0.0347,0.0505,0.1031,0.0618,0.0308,0.0151,0.0464,-0.009,0.0625,0.0971,0.0426
6/30/2009,0.0034,0.0428,-0.0115,-0.0466,-0.0267,0.0434,0.0153,0.0464,-0.0033,0.0354,-0.018,-0.0204
7/31/2009,0.0744,0.1911,0.1067,0.0529,0.1228,0.0816,0.0552,0.0439,0.0676,0.0553,0.0848,0.0998
8/31/2009,0.0083,0.0288,0.0465,0.0075,-0.002,0.0237,0.0082,0.0022,0.037,0.0219,0.1023,0.0386
9/30/2009,0.0432,0.0247,0.0654,0.0497,0.0647,0.0526,0.0656,0.0227,0.0238,0.024,0.0125,0.0694
10/30/2009,-0.0069,-0.0053,-0.0365,0.025,-0.0109,-0.0134,-0.0342,-0.0269,0.0006,-0.0369,-0.0447,-0.0663
11/30/2009,0.0382,0.0949,0.0718,0.0331,0.0825,0.0498,0.0667,0.0454,0.0504,0.0822,0.0429,0.0856
12/31/2009,0.0267,0.0532,0.0456,-0.006,-0.0031,0.0593,0.0626,0.0587,0.0196,0.0246,0.0091,0.0198
1/29/2010,-0.0233,-0.0094,-0.0436,-0.0489,-0.0109,-0.0793,-0.067,-0.0449,-0.0185,-0.0001,-0.0107,-0.0256
2/26/2010,0.0272,0.0738,0.0583,0.0256,0.0413,0.0481,0.0285,-0.0041,0.0429,0.0038,0.027,0.0465
3/31/2010,0.0598,0.0949,0.078,0.0324,0.0411,0.0667,0.076,0.0313,0.0624,0.0361,0.0817,0.0887
4/30/2010,-0.0093,0.0749,0.0423,0.0405,0.0128,0.0221,0.0359,0.0285,0.0256,-0.0222,0.0093,0.0431
5/31/2010,-0.0568,-0.0899,-0.0919,-0.1022,-0.0676,-0.0768,-0.0581,-0.0629,-0.0534,-0.0801,-0.0921,-0.0821
6/30/2010,-0.0194,-0.1051,-0.0644,-0.0629,-0.0438,-0.0621,-0.0398,-0.0069,-0.0903,-0.0164,-0.0736,-0.082
7/30/2010,0.0737,0.1572,0.1016,0.0774,0.0851,0.0753,0.0958,0.068,0.046,0.0215,0.0665,0.0901
8/31/2010,-0.0125,-0.0965,-0.0719,-0.0345,-0.0198,-0.0647,-0.0213,0.0038,-0.0398,-0.0166,-0.0843,-0.0573
9/30/2010,0.062,0.135,0.1222,0.0927,0.0613,0.1253,0.0795,0.0365,0.1213,0.09,0.0746,0.1148
10/29/2010,0.0434,0.0849,0.0444,0.0453,0.0639,0.0642,0.0452,0.0186,0.0242,0.0202,0.0198,0.0369
11/30/2010,0.0005,0.0749,0.0277,0.0546,-0.011,-0.0081,-0.0188,-0.0132,0.0417,-0.0334,-0.0035,0.0191
12/31/2010,0.0437,0.0855,0.0726,0.0949,0.063,0.0602,0.0657,0.0321,0.0325,0.054,0.106,0.0827
1/31/2011,-0.0235,0.0029,0.0423,0.0685,0.0009,0.0383,0.0004,0.0221,-0.0088,-0.0071,0.0224,0.0136
2/28/2011,0.0486,-0.0175,0.0358,0.0763,0.0331,0.0237,0.0748,0.0245,0.0225,0.0333,0.0259,0.0268
3/31/2011,0.0305,0.0177,0.0228,0.0217,0.0077,-0.0153,0.016,0.0091,0.0108,0.0229,-0.0152,0.0035
4/29/2011,0.0459,0.0224,0.0209,0.0156,0.0487,0.0308,0.0335,0.0398,0.0452,0.0637,0.0064,0.0201
5/31/2011,0.0192,-0.0354,-0.0298,-0.0453,-0.0041,-0.0171,0.009,0.0131,0.0087,0.0196,-0.0254,-0.0215
6/30/2011,-0.0101,-0.0107,0.001,-0.0232,-0.018,-0.0241,-0.0135,-0.0034,-0.0092,-0.0183,-0.0219,-0.0182
7/29/2011,-0.0043,-0.0893,-0.0593,0.0048,-0.0215,-0.0024,-0.0487,-0.0035,-0.0067,-0.0365,-0.0391,-0.0341
8/31/2011,-0.0068,-0.1202,-0.0757,-0.0994,-0.0314,-0.069,-0.0522,0.0016,-0.0291,-0.0309,-0.0913,-0.0548
9/30/2011,-0.0486,-0.141,-0.118,-0.1216,-0.0957,-0.0484,-0.0579,-0.0163,-0.039,-0.0396,-0.1114,-0.0943
10/31/2011,0.0645,0.2324,0.1622,0.1611,0.1008,0.1194,0.0757,0.067,0.098,0.0554,0.1341,0.1299
11/30/2011,0.014,-0.0804,0.0184,0.0216,0.0056,-0.0198,0.0029,0.01,0.0109,0.0127,-0.0292,-0.0006
12/30/2011,0.0188,-0.0118,-0.0173,-0.0035,0.0105,-0.0144,0.0318,0.0296,0.0091,0.0353,0.018,0.0035
1/31/2012,0.0044,0.1355,0.0808,0.0097,0.0414,0.0818,0.0244,-0.0269,0.0406,0.0338,0.0721,0.0623
2/29/2012,0.0397,0.0603,0.0392,0.0645,0.0366,0.0664,0.0478,0.0126,0.0315,0.0123,0.065,0.007
3/30/2012,0.0391,0.0091,0.0008,-0.0322,0.0194,0.0473,0.025,0.0145,0.0465,0.0396,0.0692,0.0192
4/30/2012,0.0082,-0.0702,-0.0094,-0.0159,-0.0014,-0.0208,0.0173,0.0175,0.0096,0.0061,-0.0246,-0.0062
5/31/2012,-0.0265,-0.0815,-0.0864,-0.105,-0.0613,-0.0792,-0.0107,-0.0093,-0.0307,-0.0328,-0.0905,-0.0471
6/29/2012,0.0334,-0.0558,0.0074,0.0582,0.0212,0.0284,0.0709,0.0339,0.0213,0.068,0.0453,0.0524
7/31/2012,0.0137,0.0036,0.0057,0.0275,0.0147,-0.0055,0.0406,0.0373,0.0126,0.0165,-0.0111,-0.0089
8/31/2012,0.0021,0.0413,0.035,0.024,0.03,0.0452,0.0108,-0.0334,0.0274,0.0098,0.0411,0.0107
9/28/2012,0.0088,0.036,0.0144,0.0378,0.0196,0.0162,0.0481,0.0217,0.0197,0.0467,0.0366,0.0408
10/31/2012,-0.0171,0.0596,-0.0042,-0.018,-0.0108,-0.064,-0.0225,0.0105,-0.0099,-0.0188,0.0197,-0.0096
11/30/2012,0.0326,0.0312,0.0292,-0.015,0.0213,0.0187,0.0009,-0.0368,0.0146,0.015,-0.0074,0.0083
12/31/2012,-0.0226,0.0731,0.0373,0.0131,0.011,0.0035,0.0117,0.0014,-0.0112,-0.0053,0.0443,0.0227
1/31/2013,0.051,0.0351,0.0563,0.0732,0.0675,0.0248,0.0491,0.0508,0.0558,0.0808,0.0632,0.0776
2/28/2013,0.0321,0.0001,0.013,0.0069,0.0128,0.0057,0.0221,0.0216,0.0086,0.0135,0.0117,0.0238
3/29/2013,0.0502,0.0402,0.0318,0.0209,0.016,0.0257,0.0573,0.0564,0.0469,0.0652,0.0456,0.0341
4/30/2013,0.0382,0.0363,-0.0023,-0.0135,0.0278,0.005,0.0425,0.0505,0.0267,0.0258,0.0159,-0.0004
5/31/2013,-0.0229,0.0989,0.0455,0.0305,0.013,0.0427,-0.0172,-0.0699,0.0224,0.0161,0.0722,0.0438
6/28/2013,0.0007,-0.0048,-0.0158,-0.0238,-0.0276,-0.028,0.0216,0.0079,-0.0007,-0.0136,-0.0046,-0.0224
7/31/2013,0.0292,0.0897,0.0634,0.0516,0.0535,0.0594,0.0352,0.0458,0.059,0.0787,0.0642,0.041
8/30/2013,-0.0391,-0.0108,-0.0174,-0.0195,-0.0194,-0.0007,-0.0322,-0.0441,-0.0423,-0.0386,-0.0424,-0.0281
9/30/2013,0.0194,0.0642,0.0673,0.0192,0.026,0.0387,0.0417,0.0104,0.045,0.04,0.0312,0.0469
10/31/2013,0.0475,0.0087,0.0406,0.0478,0.053,0.0392,0.0581,0.0334,0.0509,0.0383,0.0329,0.0432
11/29/2013,0.013,0.0196,0.0315,0.0093,0.024,0.0351,0.0025,-0.018,0.0367,0.0444,0.061,0.024
12/31/2013,0.0241,0.0113,0.04,0.0308,0.0121,0.0412,0.0372,0.0179,0.0028,0.0063,0.027,0.0358
1/31/2014,-0.057,-0.0369,-0.0403,-0.0688,-0.0466,-0.0121,-0.038,0.0249,-0.0644,0.0157,-0.0424,-0.0461
2/28/2014,0.0346,0.0787,0.0534,0.0559,0.0554,0.0518,0.0263,0.0307,0.0534,0.0649,0.0323,0.0387
3/31/2014,0.0326,-0.0106,-0.0011,0.0246,0.0118,-0.0083,0.0017,0.0268,-0.0058,-0.0254,0.0246,0.0211
4/30/2014,0.0142,0.0034,0.0061,0.0567,0.0154,-0.0118,0.0039,0.0397,-0.0094,-0.0029,-0.036,0.01
5/30/2014,0.0344,0.0069,0.0126,0.0086,0.0121,0.035,0.0384,0,0.0095,0.0189,0.0173,0.0169
6/30/2014,0.0117,0.0439,0.022,0.0406,-0.0032,0.0291,0.0168,0.0541,0.0129,0.0285,0.0303,0.0096
7/31/2014,-0.0431,-0.046,-0.0466,-0.0353,-0.0287,0.0033,0.0067,-0.064,-0.0231,-0.0026,-0.0201,-0.0231
8/29/2014,0.0554,0.0519,0.0465,0.0232,0.051,0.042,0.0044,0.0532,0.05,0.0549,0.0382,0.053
