Date,CDC,CDL,CSB,DES,DGRO,DGRS,DGRW,DHS,DIV,DJD,DLN,DON,DTD,DURA,DVY,ESGS,FDL,FDRR,FDVV,FVD,HDV,JDIV,KBWD,LEAD,LVHD,NOBL,ONEY,PEY,QDEF,QDF,QDIV,QDYN,RDIV,RDVY,REGL,RNDV,RNLC,RNMC,RNSC,SDOG,SDVY,SDY,SMDV,SPDV,SPHD,SPYD,TDIV,VSDA,WBIY,XSHD
31/12/2002,394.6339,394.6339,2536.385,2536.385,394.6339,1543.726,1932.85317,394.6339,708.4285,394.6339,394.6339,708.4285,394.6339,394.6339,394.6339,394.6339,394.6339,394.6339,394.6339,394.6339,394.6339,708.4285,359.46135,1932.85317,2536.385,394.6339,708.4285,708.4285,394.6339,394.6339,394.6339,394.6339,394.6339,394.6339,2470.26703,394.6339,1932.85317,2470.26703,1543.726,394.6339,708.4285,394.6339,1543.726,394.6339,394.6339,394.6339,2969.30068,1932.85317,708.4285,2536.385
31/01/2003,385.0804,385.0804,2464.972,2464.972,385.0804,1501,1886.00527,385.0804,688.8071,385.0804,385.0804,688.8071,385.0804,385.0804,385.0804,385.0804,385.0804,385.0804,385.0804,385.0804,385.0804,688.8071,353.29323,1886.00527,2464.972,385.0804,688.8071,688.8071,385.0804,385.0804,385.0804,385.0804,385.0804,385.0804,2420.30869,385.0804,1886.00527,2420.30869,1501,385.0804,688.8071,385.0804,1501,385.0804,385.0804,385.0804,2933.32168,1886.00527,688.8071,2464.972
28/02/2003,374.8144,374.8144,2382.106,2382.106,374.8144,1455.647,1856.8277,374.8144,677.3887,374.8144,374.8144,677.3887,374.8144,374.8144,374.8144,374.8144,374.8144,374.8144,374.8144,374.8144,374.8144,677.3887,342.5953,1856.8277,2382.106,374.8144,677.3887,677.3887,374.8144,374.8144,374.8144,374.8144,374.8144,374.8144,2388.25238,374.8144,1856.8277,2388.25238,1455.647,374.8144,677.3887,374.8144,1455.647,374.8144,374.8144,374.8144,2997.73586,1856.8277,677.3887,2382.106
31/03/2003,375.4366,375.4366,2407.548,2407.548,375.4366,1474.391,1876.04872,375.4366,679.7007,375.4366,375.4366,679.7007,375.4366,375.4366,375.4366,375.4366,375.4366,375.4366,375.4366,375.4366,375.4366,679.7007,341.3087,1876.04872,2407.548,375.4366,679.7007,679.7007,375.4366,375.4366,375.4366,375.4366,375.4366,375.4366,2411.8296,375.4366,1876.04872,2411.8296,1474.391,375.4366,679.7007,375.4366,1474.391,375.4366,375.4366,375.4366,2947.63577,1876.04872,679.7007,2407.548
30/04/2003,408.4839,408.4839,2636.228,2636.228,408.4839,1614.189,2027.50335,408.4839,731.3881,408.4839,408.4839,731.3881,408.4839,408.4839,408.4839,408.4839,408.4839,408.4839,408.4839,408.4839,408.4839,731.3881,381.57265,2027.50335,2636.228,408.4839,731.3881,731.3881,408.4839,408.4839,408.4839,408.4839,408.4839,408.4839,2587.01272,408.4839,2027.50335,2587.01272,1614.189,408.4839,731.3881,408.4839,1614.189,408.4839,408.4839,408.4839,3229.75355,2027.50335,731.3881,2636.228
30/05/2003,434.8518,434.8518,2905.399,2905.399,434.8518,1787.412,2143.10254,434.8518,795.7623,434.8518,434.8518,795.7623,434.8518,434.8518,434.8518,434.8518,434.8518,434.8518,434.8518,434.8518,434.8518,795.7623,402.34726,2143.10254,2905.399,434.8518,795.7623,795.7623,434.8518,434.8518,434.8518,434.8518,434.8518,434.8518,2823.77532,434.8518,2143.10254,2823.77532,1787.412,434.8518,795.7623,434.8518,1787.412,434.8518,434.8518,434.8518,3529.25301,2143.10254,795.7623,2905.399
30/06/2003,440.2891,440.2891,2954.628,2954.628,440.2891,1819.758,2171.28754,440.2891,801.3203,440.2891,440.2891,801.3203,440.2891,440.2891,440.2891,440.2891,440.2891,440.2891,440.2891,440.2891,440.2891,801.3203,403.58452,2171.28754,2954.628,440.2891,801.3203,801.3203,440.2891,440.2891,440.2891,440.2891,440.2891,440.2891,2852.31332,440.2891,2171.28754,2852.31332,1819.758,440.2891,801.3203,440.2891,1819.758,440.2891,440.2891,440.2891,3520.60132,2171.28754,801.3203,2954.628
31/07/2003,446.8451,446.8451,3101.971,3101.971,446.8451,1933.621,2214.55363,446.8451,826.2242,446.8451,446.8451,826.2242,446.8451,446.8451,446.8451,446.8451,446.8451,446.8451,446.8451,446.8451,446.8451,826.2242,422.26184,2214.55363,3101.971,446.8451,826.2242,826.2242,446.8451,446.8451,446.8451,446.8451,446.8451,446.8451,2946.31663,446.8451,2214.55363,2946.31663,1933.621,446.8451,826.2242,446.8451,1933.621,446.8451,446.8451,446.8451,3737.53383,2214.55363,826.2242,3101.971
29/08/2003,453.808,453.808,3219.801,3219.801,453.808,2022.275,2259.49759,453.808,855.5619,453.808,453.808,855.5619,453.808,453.808,453.808,453.808,453.808,453.808,453.808,453.808,453.808,855.5619,418.93571,2259.49759,3219.801,453.808,855.5619,855.5619,453.808,453.808,453.808,453.808,453.808,453.808,3074.27463,453.808,2259.49759,3074.27463,2022.275,453.808,855.5619,453.808,2022.275,453.808,453.808,453.808,3985.22299,2259.49759,855.5619,3219.801
30/09/2003,449.3805,449.3805,3182.868,3182.868,449.3805,1984.947,2236.3563,449.3805,848.9172,449.3805,449.3805,848.9172,449.3805,449.3805,449.3805,449.3805,449.3805,449.3805,449.3805,449.3805,449.3805,848.9172,421.73376,2236.3563,3182.868,449.3805,848.9172,848.9172,449.3805,449.3805,449.3805,449.3805,449.3805,449.3805,3035.75216,449.3805,2236.3563,3035.75216,1984.947,449.3805,848.9172,449.3805,1984.947,449.3805,449.3805,449.3805,3942.28856,2236.3563,848.9172,3182.868
