Date,CDC,CDL,CSB,DES,DGRO,DGRS,DGRW,DHS,DIV,DJD,DLN,DON,DTD,DURA,DVY,ESGS,FDL,FDRR,FDVV,FVD,HDV,JDIV,KBWD,LEAD,LVHD,NOBL,ONEY,PEY,QDEF,QDF,QDIV,QDYN,RDIV,RDVY,REGL,RNDV,RNLC,RNMC,RNSC,SDOG,SDVY,SDY,SMDV,SPDV,SPHD,SPYD,TDIV,VSDA,WBIY,XSHD
31/12/2002,394.6339,394.6339,2536.385,2536.385,394.6339,1543.726,1932.85317,394.6339,708.4285,394.6339,394.6339,708.4285,394.6339,394.6339,394.6339,394.6339,394.6339,394.6339,394.6339,394.6339,394.6339,708.4285,359.46135,1932.85317,2536.385,394.6339,708.4285,708.4285,394.6339,394.6339,394.6339,394.6339,394.6339,394.6339,2470.26703,394.6339,1932.85317,2470.26703,1543.726,394.6339,708.4285,394.6339,1543.726,394.6339,394.6339,394.6339,2969.30068,1932.85317,708.4285,2536.385
02/01/2003,406.9049,406.9049,2595.868,2595.868,406.9049,1581.946,1996.03206,406.9049,727.5383,406.9049,406.9049,727.5383,406.9049,406.9049,406.9049,406.9049,406.9049,406.9049,406.9049,406.9049,406.9049,727.5383,371.71815,1996.03206,2595.868,406.9049,727.5383,727.5383,406.9049,406.9049,406.9049,406.9049,406.9049,406.9049,2543.26248,406.9049,1996.03206,2543.26248,1581.946,406.9049,727.5383,406.9049,1581.946,406.9049,406.9049,406.9049,3109.97476,1996.03206,727.5383,2595.868
03/01/2003,406.8448,406.8448,2579.398,2579.398,406.8448,1572.841,1995.11713,406.8448,725.9263,406.8448,406.8448,725.9263,406.8448,406.8448,406.8448,406.8448,406.8448,406.8448,406.8448,406.8448,406.8448,725.9263,371.48212,1995.11713,2579.398,406.8448,725.9263,725.9263,406.8448,406.8448,406.8448,406.8448,406.8448,406.8448,2537.58036,406.8448,1995.11713,2537.58036,1572.841,406.8448,725.9263,406.8448,1572.841,406.8448,406.8448,406.8448,3131.05527,1995.11713,725.9263,2579.398
06/01/2003,418.5167,418.5167,2621.436,2621.436,418.5167,1599.778,2040.40885,418.5167,740.8474,418.5167,418.5167,740.8474,418.5167,418.5167,418.5167,418.5167,418.5167,418.5167,418.5167,418.5167,418.5167,740.8474,382.22108,2040.40885,2621.436,418.5167,740.8474,740.8474,418.5167,418.5167,418.5167,418.5167,418.5167,418.5167,2586.31465,418.5167,2040.40885,2586.31465,1599.778,418.5167,740.8474,418.5167,1599.778,418.5167,418.5167,418.5167,3239.73503,2040.40885,740.8474,2621.436
07/01/2003,414.3572,414.3572,2598.193,2598.193,414.3572,1587.519,2026.39785,414.3572,733.0684,414.3572,414.3572,733.0684,414.3572,414.3572,414.3572,414.3572,414.3572,414.3572,414.3572,414.3572,414.3572,733.0684,378.85507,2026.39785,2598.193,414.3572,733.0684,733.0684,414.3572,414.3572,414.3572,414.3572,414.3572,414.3572,2566.24789,414.3572,2026.39785,2566.24789,1587.519,414.3572,733.0684,414.3572,1587.519,414.3572,414.3572,414.3572,3298.68467,2026.39785,733.0684,2598.193
08/01/2003,408.6082,408.6082,2566.179,2566.179,408.6082,1567.995,1998.60075,408.6082,726.0488,408.6082,408.6082,726.0488,408.6082,408.6082,408.6082,408.6082,408.6082,408.6082,408.6082,408.6082,408.6082,726.0488,374.85792,1998.60075,2566.179,408.6082,726.0488,726.0488,408.6082,408.6082,408.6082,408.6082,408.6082,408.6082,2534.31984,408.6082,1998.60075,2534.31984,1567.995,408.6082,726.0488,408.6082,1567.995,408.6082,408.6082,408.6082,3211.27244,1998.60075,726.0488,2566.179
09/01/2003,415.6825,415.6825,2605.344,2605.344,415.6825,1595.715,2036.1036,415.6825,736.3666,415.6825,415.6825,736.3666,415.6825,415.6825,415.6825,415.6825,415.6825,415.6825,415.6825,415.6825,415.6825,736.3666,381.93304,2036.1036,2605.344,415.6825,736.3666,736.3666,415.6825,415.6825,415.6825,415.6825,415.6825,415.6825,2577.70974,415.6825,2036.1036,2577.70974,1595.715,415.6825,736.3666,415.6825,1595.715,415.6825,415.6825,415.6825,3318.06622,2036.1036,736.3666,2605.344
10/01/2003,415.3453,415.3453,2606.251,2606.251,415.3453,1597.796,2036.49597,415.3453,736.144,415.3453,415.3453,736.144,415.3453,415.3453,415.3453,415.3453,415.3453,415.3453,415.3453,415.3453,415.3453,736.144,381.50633,2036.49597,2606.251,415.3453,736.144,736.144,415.3453,415.3453,415.3453,415.3453,415.3453,415.3453,2581.48891,415.3453,2036.49597,2581.48891,1597.796,415.3453,736.144,415.3453,1597.796,415.3453,415.3453,415.3453,3347.21672,2036.49597,736.144,2606.251
13/01/2003,414.6969,414.6969,2605.484,2605.484,414.6969,1596.9,2033.87748,414.6969,733.426,414.6969,414.6969,733.426,414.6969,414.6969,414.6969,414.6969,414.6969,414.6969,414.6969,414.6969,414.6969,733.426,382.30358,2033.87748,2605.484,414.6969,733.426,733.426,414.6969,414.6969,414.6969,414.6969,414.6969,414.6969,2570.68578,414.6969,2033.87748,2570.68578,1596.9,414.6969,733.426,414.6969,1596.9,414.6969,414.6969,414.6969,3325.73846,2033.87748,733.426,2605.484
14/01/2003,417.4384,417.4384,2621.658,2621.658,417.4384,1606.055,2045.46611,417.4384,735.7691,417.4384,417.4384,735.7691,417.4384,417.4384,417.4384,417.4384,417.4384,417.4384,417.4384,417.4384,417.4384,735.7691,385.59275,2045.46611,2621.658,417.4384,735.7691,735.7691,417.4384,417.4384,417.4384,417.4384,417.4384,417.4384,2578.34916,417.4384,2045.46611,2578.34916,1606.055,417.4384,735.7691,417.4384,1606.055,417.4384,417.4384,417.4384,3370.02189,2045.46611,735.7691,2621.658
