Date,EDOW,EQAL,EQWL,EUSA,EWMC,EWSC,GSEW,ISMD,QQEW,QQQE,QQXT,QTEC,RCD,RGI,RHS,RSP,RTM,RYE,RYF,RYH,RYJ,RYT,RYU,UTRN,XNTK
31/12/2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30225633
31/01/2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27421618
28/02/2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27380188
31/03/2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27325830
30/04/2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30146435
30/05/2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106556542,0,0,0,0,0,0,0,0,34874378
30/06/2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141173751,0,0,0,0,0,0,0,0,34842000
31/07/2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167959686,0,0,0,0,0,0,0,0,36654000
29/08/2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175317804,0,0,0,0,0,0,0,0,27360438
30/09/2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165497953,0,0,0,0,0,0,0,0,22633044
31/10/2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177130235,0,0,0,0,0,0,0,0,24917007
28/11/2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180870101,0,0,0,0,0,0,0,0,25497195
31/12/2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223454912,0,0,0,0,0,0,0,0,26133752
30/01/2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263446220,0,0,0,0,0,0,0,0,27658305
27/02/2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282800240,0,0,0,0,0,0,0,0,32138915
31/03/2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287192260,0,0,0,0,0,0,0,0,31593834
30/04/2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273048339,0,0,0,0,0,0,0,0,22759813
31/05/2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319737656,0,0,0,0,0,0,0,0,23658389
30/06/2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400070375,0,0,0,0,0,0,0,0,24594628
30/07/2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389176417,0,0,0,0,0,0,0,0,21855255
31/08/2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374952307,0,0,0,0,0,0,0,0,21041996
30/09/2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418637906,0,0,0,0,0,0,0,0,24453739
29/10/2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,485632928,0,0,0,0,0,0,0,0,25148938
30/11/2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,664682452,0,0,0,0,0,0,0,0,29139331
31/12/2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,764900545,0,0,0,0,0,0,0,0,30320075
31/01/2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,726748680,0,0,0,0,0,0,0,0,28276988
28/02/2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,765211429,0,0,0,0,0,0,0,0,28243810
31/03/2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768593446,0,0,0,0,0,0,0,0,24925629
29/04/2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,707986099,0,0,0,0,0,0,0,0,23900758
31/05/2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,824585533,0,0,0,0,0,0,0,0,26219371
30/06/2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,919873716,0,0,0,0,0,0,0,0,30546386
29/07/2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1015230323,0,0,0,0,0,0,0,0,42325874
31/08/2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1052734072,0,0,0,0,0,0,0,0,51860303
30/09/2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1099226809,0,0,0,0,0,0,0,0,52918155
31/10/2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1071409570,0,0,0,0,0,0,0,0,57129097
30/11/2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1250380223,0,0,0,0,0,0,0,0,136821407
30/12/2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1202407000,0,0,0,0,0,0,0,0,161054588
31/01/2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1435864612,0,0,0,0,0,0,0,0,223316377
28/02/2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1516592008,0,0,0,0,0,0,0,0,234690564
31/03/2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1557747533,0,0,0,0,0,0,0,0,261757899
28/04/2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1622694978,0,0,0,0,0,0,0,0,235427669
31/05/2006,0,0,0,0,0,0,0,0,17558060,0,0,13455036,0,0,0,1586168683,0,0,0,0,0,0,0,0,167370031
30/06/2006,0,0,0,0,0,0,0,0,21205796,0,0,13237535,0,0,0,1583928542,0,0,0,0,0,0,0,0,139962252
31/07/2006,0,0,0,0,0,0,0,0,19916693,0,0,12532533,0,0,0,1558084770,0,0,0,0,0,0,0,0,134709842
31/08/2006,0,0,0,0,0,0,0,0,20888911,0,0,13552536,0,0,0,1614871253,0,0,0,0,0,0,0,0,144172246
29/09/2006,0,0,0,0,0,0,0,0,21699979,0,0,17971545,0,0,0,1657794128,0,0,0,0,0,0,0,0,134671216
31/10/2006,0,0,0,0,0,0,0,0,22475867,0,0,22459539,0,0,0,1759749390,0,0,0,0,0,0,0,0,142943213
30/11/2006,0,0,0,0,0,0,0,0,23442442,0,0,28812041,13916388,7638606,7245003,1834353460,7668378,7942316,14860485,7500796,0,7518524,8449721,0,157304136
29/12/2006,0,0,15367722,0,0,0,0,0,26158101,0,0,27959576,16390977,7595763,7368207,1871236675,11500000,7507430,5078284,7643612,0,7396552,8555000,0,186428702
31/01/2007,0,0,15498012,0,0,0,0,0,26765381,0,0,28112040,33841490,7874013,7501810,2002260628,10709620,7520881,5194179,7994700,0,7435278,8564011,0,185609701
28/02/2007,0,0,15309744,0,0,0,0,0,28584300,0,0,28042040,40429551,7847777,7460876,2084103036,10946789,7464784,5093207,7897258,0,7479129,8878972,0,196419457
30/03/2007,0,0,15485122,0,0,0,0,0,28547425,0,0,27855772,35008000,10623000,7605135,2165987000,9985000,9711000,6300000,9847000,0,7655000,13247000,0,177010368
30/04/2007,0,0,10798477,0,0,0,0,0,18267413,0,0,17722542,56459544,8257714,7862841,2284554890,5674287,8392781,5182171,8515725,0,12952932,9460476,0,185851886
31/05/2007,0,0,11164613,0,0,0,0,0,18769975,0,4229577,18241043,60743186,8730589,7935522,2395664087,5916866,9051322,5309240,31894675,0,13316315,9659242,0,186988159
29/06/2007,0,0,10850019,0,0,0,0,0,18782342,0,4181738,18571417,59078394,8720911,7713768,2373147746,5825684,9129352,5079976,36724797,0,13389859,9136897,0,188810872
31/07/2007,0,0,10620000,0,0,0,0,0,18688240,0,4146289,19665044,47954869,8665997,7417696,2368330489,8525439,8990068,4652723,35410683,0,13002231,8762435,0,192688988
31/08/2007,0,0,10705632,0,0,0,0,0,19205960,0,4293655,19989044,42873805,8626003,7589557,2207900473,8417912,8910775,4669170,35777663,0,13035816,8899494,0,205609662
28/09/2007,0,0,13937819,0,0,0,0,0,22297773,0,2232098,24214296,35490415,8866180,7768047,2220676053,8819274,9598819,7137874,25666571,0,13323052,6040345,0,229190328
