Date,EDOW,EQAL,EQWL,EUSA,EWMC,EWSC,GSEW,ISMD,QQEW,QQQE,QQXT,QTEC,RCD,RGI,RHS,RSP,RTM,RYE,RYF,RYH,RYJ,RYT,RYU,UTRN,XNTK
12/31/2002,394.6339,2470.26703,1932.85317,1932.85317,2470.26703,1543.726,1932.85317,1543.726,283.7482,283.7482,283.7482,2969.30068,186.6517,210.0429,243.3816,1932.85317,87.7306,231.0352,359.46135,322.6467,2470.26703,2969.30068,154.8033,1932.85317,2969.30068
1/31/2003,385.0804,2420.30869,1886.00527,1886.00527,2420.30869,1501,1886.00527,1501,276.8631,276.8631,276.8631,2933.32168,180.5088,199.6466,234.8696,1886.00527,85.61524,224.5263,353.29323,321.6526,2420.30869,2933.32168,149.8098,1886.00527,2933.32168
2/28/2003,374.8144,2388.25238,1856.8277,1856.8277,2388.25238,1455.647,1856.8277,1455.647,275.5916,275.5916,275.5916,2997.73586,177.9628,195.9421,228.2635,1856.8277,86.95255,230.2438,342.5953,315.3307,2388.25238,2997.73586,143.4223,1856.8277,2997.73586
3/31/2003,375.4366,2411.8296,1876.04872,1876.04872,2411.8296,1474.391,1876.04872,1474.391,280.7208,280.7208,280.7208,2947.63577,182.5338,198.7102,227.816,1876.04872,86.21456,231.9461,341.3087,326.69,2411.8296,2947.63577,150.022,1876.04872,2947.63577
4/30/2003,408.4839,2587.01272,2027.50335,2027.50335,2587.01272,1614.189,2027.50335,1614.189,301.4764,301.4764,301.4764,3229.75355,203.7345,219.2141,235.3449,2027.50335,87.24483,231.0641,381.57265,338.1365,2587.01272,3229.75355,161.9969,2027.50335,3229.75355
5/30/2003,434.8518,2823.77532,2143.10254,2143.10254,2823.77532,1787.412,2143.10254,1787.412,316.5245,316.5245,316.5245,3529.25301,214.7359,225.715,246.409,2143.10254,96.82264,252.7551,402.34726,347.2954,2823.77532,3529.25301,178.7538,2143.10254,3529.25301
6/30/2003,440.2891,2852.31332,2171.28754,2171.28754,2852.31332,1819.758,2171.28754,1819.758,320.8829,320.8829,320.8829,3520.60132,218.9452,229.9227,249.1014,2171.28754,96.98077,249.1527,403.58452,362.0228,2852.31332,3520.60132,180.3639,2171.28754,3520.60132
7/31/2003,446.8451,2946.31663,2214.55363,2214.55363,2946.31663,1933.621,2214.55363,1933.621,328.8676,328.8676,328.8676,3737.53383,224.1366,238.0837,248.0016,2214.55363,94.95666,241.6386,422.26184,359.9197,2946.31663,3737.53383,170.1214,2214.55363,3737.53383
8/29/2003,453.808,3074.27463,2259.49759,2259.49759,3074.27463,2022.275,2259.49759,2022.275,337.0469,337.0469,337.0469,3985.22299,236.1073,248.7384,252.9246,2259.49759,100.7653,256.9902,418.93571,348.2378,3074.27463,3985.22299,173.4907,2259.49759,3985.22299
9/30/2003,449.3805,3035.75216,2236.3563,2236.3563,3035.75216,1984.947,2236.3563,1984.947,333.4387,333.4387,333.4387,3942.28856,225.264,241.7748,252.7271,2236.3563,99.10027,250.2984,421.73376,349.4617,3035.75216,3942.28856,180.4931,2236.3563,3942.28856
10/31/2003,476.8818,3267.46366,2367.48263,2367.48263,3267.46366,2151.636,2367.48263,2151.636,352.1671,352.1671,352.1671,4318.04682,246.5034,256.1251,265.3094,2367.48263,102.3915,253.03,451.12577,353.6387,3267.46366,4318.04682,183.2501,2367.48263,4318.04682
11/28/2003,483.3513,3359.17178,2395.86914,2395.86914,3359.17178,2227.994,2395.86914,2227.994,355.8541,355.8541,355.8541,4397.58601,250.2803,261.0565,268.375,2395.86914,104.7548,254.3717,451.61819,360.4222,3359.17178,4397.58601,184.6681,2395.86914,4397.58601
12/31/2003,513.1447,3459.83636,2510.59813,2510.59813,3459.83636,2273.195,2510.59813,2273.195,368.1607,368.1607,368.1607,4463.35811,257.9284,277.5642,273.2319,2510.59813,117.9103,288.838,472.57763,379.5305,3459.83636,4463.35811,195.5827,2510.59813,4463.35811
