Date,EDOW,EQAL,EQWL,EUSA,EWMC,EWSC,GSEW,ISMD,QQEW,QQQE,QQXT,QTEC,RCD,RGI,RHS,RSP,RTM,RYE,RYF,RYH,RYJ,RYT,RYU,UTRN,XNTK,NOBL,ONEY,PEY,QDEF,QDF,QDIV,QDYN,RDIV,RDVY,REGL,RNDV,RNLC,RNMC,RNSC,SDOG,SDVY,SDY,SMDV,SPDV,SPHD,SPYD,TDIV,VSDA,WBIY,XSHD
31/12/2002,394.6339,2470.26703,1932.85317,1932.85317,2470.26703,1543.726,1932.85317,1543.726,283.7482,283.7482,283.7482,2969.30068,186.6517,210.0429,243.3816,1932.85317,87.7306,231.0352,359.46135,322.6467,2470.26703,2969.30068,154.8033,1932.85317,2969.30068,394.6339,708.4285,708.4285,394.6339,394.6339,394.6339,394.6339,394.6339,394.6339,2470.26703,394.6339,1932.85317,2470.26703,1543.726,394.6339,708.4285,394.6339,1543.726,394.6339,394.6339,394.6339,2969.30068,1932.85317,708.4285,2536.385
02/01/2003,406.9049,2543.26248,1996.03206,1996.03206,2543.26248,1581.946,1996.03206,1581.946,293.4633,293.4633,293.4633,3109.97476,193.1755,216.5876,247.9843,1996.03206,89.74558,235.849,371.71815,331.8143,2543.26248,3109.97476,158.1289,1996.03206,3109.97476,406.9049,727.5383,727.5383,406.9049,406.9049,406.9049,406.9049,406.9049,406.9049,2543.26248,406.9049,1996.03206,2543.26248,1581.946,406.9049,727.5383,406.9049,1581.946,406.9049,406.9049,406.9049,3109.97476,1996.03206,727.5383,2595.868
03/01/2003,406.8448,2537.58036,1995.11713,1995.11713,2537.58036,1572.841,1995.11713,1572.841,293.2402,293.2402,293.2402,3131.05527,189.2867,215.8403,247.3969,1995.11713,89.66212,235.4821,371.48212,334.7068,2537.58036,3131.05527,159.2103,1995.11713,3131.05527,406.8448,725.9263,725.9263,406.8448,406.8448,406.8448,406.8448,406.8448,406.8448,2537.58036,406.8448,1995.11713,2537.58036,1572.841,406.8448,725.9263,406.8448,1572.841,406.8448,406.8448,406.8448,3131.05527,1995.11713,725.9263,2579.398
06/01/2003,418.5167,2586.31465,2040.40885,2040.40885,2586.31465,1599.778,2040.40885,1599.778,298.1908,298.1908,298.1908,3239.73503,192.3081,218.8333,248.5265,2040.40885,90.66663,238.4106,382.22108,337.853,2586.31465,3239.73503,165.6783,2040.40885,3239.73503,418.5167,740.8474,740.8474,418.5167,418.5167,418.5167,418.5167,418.5167,418.5167,2586.31465,418.5167,2040.40885,2586.31465,1599.778,418.5167,740.8474,418.5167,1599.778,418.5167,418.5167,418.5167,3239.73503,2040.40885,740.8474,2621.436
07/01/2003,414.3572,2566.24789,2026.39785,2026.39785,2566.24789,1587.519,2026.39785,1587.519,297.0438,297.0438,297.0438,3298.68467,191.8531,216.7679,246.7213,2026.39785,88.00231,229.8389,378.85507,333.2038,2566.24789,3298.68467,161.8622,2026.39785,3298.68467,414.3572,733.0684,733.0684,414.3572,414.3572,414.3572,414.3572,414.3572,414.3572,2566.24789,414.3572,2026.39785,2566.24789,1587.519,414.3572,733.0684,414.3572,1587.519,414.3572,414.3572,414.3572,3298.68467,2026.39785,733.0684,2598.193
08/01/2003,408.6082,2534.31984,1998.60075,1998.60075,2534.31984,1567.995,1998.60075,1567.995,293.0147,293.0147,293.0147,3211.27244,189.6097,213.6586,245.5482,1998.60075,86.98866,228.4255,374.85792,330.049,2534.31984,3211.27244,162.9067,1998.60075,3211.27244,408.6082,726.0488,726.0488,408.6082,408.6082,408.6082,408.6082,408.6082,408.6082,2534.31984,408.6082,1998.60075,2534.31984,1567.995,408.6082,726.0488,408.6082,1567.995,408.6082,408.6082,408.6082,3211.27244,1998.60075,726.0488,2566.179
09/01/2003,415.6825,2577.70974,2036.1036,2036.1036,2577.70974,1595.715,2036.1036,1595.715,298.928,298.928,298.928,3318.06622,194.9409,216.7467,248.3767,2036.1036,88.38754,232.2584,381.93304,334.551,2577.70974,3318.06622,163.1399,2036.1036,3318.06622,415.6825,736.3666,736.3666,415.6825,415.6825,415.6825,415.6825,415.6825,415.6825,2577.70974,415.6825,2036.1036,2577.70974,1595.715,415.6825,736.3666,415.6825,1595.715,415.6825,415.6825,415.6825,3318.06622,2036.1036,736.3666,2605.344
10/01/2003,415.3453,2581.48891,2036.49597,2036.49597,2581.48891,1597.796,2036.49597,1597.796,299.2777,299.2777,299.2777,3347.21672,195.7032,216.1033,248.348,2036.49597,88.25726,229.7766,381.50633,334.1502,2581.48891,3347.21672,162.119,2036.49597,3347.21672,415.3453,736.144,736.144,415.3453,415.3453,415.3453,415.3453,415.3453,415.3453,2581.48891,415.3453,2036.49597,2581.48891,1597.796,415.3453,736.144,415.3453,1597.796,415.3453,415.3453,415.3453,3347.21672,2036.49597,736.144,2606.251
13/01/2003,414.6969,2570.68578,2033.87748,2033.87748,2570.68578,1596.9,2033.87748,1596.9,298.9729,298.9729,298.9729,3325.73846,195.3804,215.4848,249.4805,2033.87748,87.7499,228.654,382.30358,334.2017,2570.68578,3325.73846,158.867,2033.87748,3325.73846,414.6969,733.426,733.426,414.6969,414.6969,414.6969,414.6969,414.6969,414.6969,2570.68578,414.6969,2033.87748,2570.68578,1596.9,414.6969,733.426,414.6969,1596.9,414.6969,414.6969,414.6969,3325.73846,2033.87748,733.426,2605.484
14/01/2003,417.4384,2578.34916,2045.46611,2045.46611,2578.34916,1606.055,2045.46611,1606.055,300.4115,300.4115,300.4115,3370.02189,195.8952,215.8633,249.6089,2045.46611,87.61889,229.5491,385.59275,334.0668,2578.34916,3370.02189,159.4717,2045.46611,3370.02189,417.4384,735.7691,735.7691,417.4384,417.4384,417.4384,417.4384,417.4384,417.4384,2578.34916,417.4384,2045.46611,2578.34916,1606.055,417.4384,735.7691,417.4384,1606.055,417.4384,417.4384,417.4384,3370.02189,2045.46611,735.7691,2621.658
