Date,MKT,SMB,HML,MOM,BAB,QMJ
12/31/2002,0,0,0,0,0,0
1/31/2003,-0.0251675,0.0117407,0.0068402,0.0139943,0.0138974,-0.0031917
2/28/2003,-0.0174159,-0.005236,-0.0145138,0.0186447,0.018881,0.0239553
3/31/2003,0.0092978,0.0035687,-0.0172924,0.0099942,0.0120797,0.0100377
4/30/2003,0.082261,0.0022429,0.0045735,-0.0934457,-0.0342693,-0.0602089
5/30/2003,0.0631595,0.04828,0.005938,-0.0885352,-0.056111,-0.072074
6/30/2003,0.0156583,0.0185217,0.0146739,-0.0115634,0.0185699,-0.0095754
7/31/2003,0.0230153,0.0502493,-0.0168177,-0.0010316,0.0055401,-0.0233543
8/29/2003,0.0241086,0.0215441,0.0171271,-0.0043581,0.0034591,-0.0128073
9/30/2003,-0.0106338,0.0197616,0.0140956,0.0010638,0.0179309,-0.0010515
10/31/2003,0.0600263,0.0278155,0.0244566,0.0424553,0.002627,-0.0127874
11/28/2003,0.0157118,0.0267346,0.0149016,0.0154181,0.0457791,0.0048731
12/31/2003,0.0448622,-0.0285329,0.0304796,-0.0492111,0.0627037,-0.0189624
1/30/2004,0.0223564,0.0326026,0.0153388,0.0254511,-0.0146244,-0.0401112
2/27/2004,0.0151324,-0.0066835,0.0007782,-0.0095878,0.0538803,0.0041213
3/31/2004,-0.0116948,0.0217297,-0.0006328,-0.0004426,0.0512936,0.0129305
4/30/2004,-0.023582,-0.0276695,-0.0258466,-0.0550839,0.0008619,0.0394756
5/31/2004,0.013532,0.0010017,-0.0037311,0.017,0.0037886,-0.002133
6/30/2004,0.02094,0.0166178,0.0186658,0.0201953,0.0254693,-0.0007362
7/30/2004,-0.0390761,-0.0303396,0.0379673,-0.0193843,0.0597845,0.033901
8/31/2004,0.0011176,-0.0113638,0.0113901,-0.0148035,0.0266555,-0.0003001
9/30/2004,0.0193481,0.0258719,0.0000011,0.0459818,0.029975,-0.011137
10/29/2004,0.0160855,0.003071,-0.00782,-0.0090112,0.0152911,0.0046952
11/30/2004,0.0471482,0.0384981,0.0272407,0.0285168,0.0308507,-0.0199611
12/31/2004,0.0332562,0.0051648,0.0027876,-0.0263125,0.0150324,-0.0094055
1/31/2005,-0.0284722,-0.0139458,0.0184154,0.0300174,0.0391609,0.0187664
2/28/2005,0.0206857,-0.0084045,0.0213446,0.0379192,0.0344756,0.0063162
3/31/2005,-0.0186509,-0.0149698,0.0129291,0.0051486,0.0064483,0.0190992
4/29/2005,-0.0275294,-0.0337705,-0.0062747,-0.004231,0.0146008,0.014522
5/31/2005,0.0355304,0.0231904,-0.0082404,0.0055606,-0.0188155,0.0016153
6/30/2005,0.0093122,0.0265415,0.0244539,0.0275367,0.0371083,-0.0086569
7/29/2005,0.0411169,0.0198755,-0.0072532,0.0024616,0.0164402,-0.0097063
8/31/2005,-0.0090597,-0.0106438,0.0128544,0.0246596,0.0027259,-0.0102742
9/30/2005,0.0077017,-0.0088058,0.0096673,0.0322107,0.0017709,-0.0093598
10/31/2005,-0.0235233,-0.011365,-0.016783,-0.0125038,-0.0220737,0.0184693
11/30/2005,0.0379825,0.0069636,-0.0147058,0.0001798,0.000101,-0.0010551
12/30/2005,0.0000687,0.0006244,0.0057214,0.0092894,0.0141165,-0.0180583
1/31/2006,0.0365028,0.0457625,0.0095905,0.0374885,0.0091288,-0.0211439
2/28/2006,-0.005131,-0.0006713,-0.0063922,-0.0180066,0.0064429,-0.0094233
3/31/2006,0.0153799,0.0317024,0.0009386,0.0153486,0.0106273,-0.0068493
4/28/2006,0.0091266,-0.0141,0.0251001,0.0106405,0.0133176,-0.0094409
5/31/2006,-0.035069,-0.02175,0.0231655,-0.029952,0.0029733,0.0094371
6/30/2006,-0.0042251,-0.0060445,0.0120408,0.0112147,0.0008316,0.0095952
7/31/2006,-0.006412,-0.0324396,0.0247673,-0.0117088,0.0206337,-0.0000999
8/31/2006,0.0209431,0.0062396,-0.0148634,-0.0328605,-0.0045817,-0.0019087
9/29/2006,0.015467,-0.0122469,-0.0010771,-0.0144546,-0.0017428,0.0127123
10/31/2006,0.0328158,0.0176868,0.0020474,-0.0015433,0.0046921,-0.0108055
11/30/2006,0.0194217,0.0091163,0.0018264,-0.0013075,0.0149872,-0.006012
12/29/2006,0.0063918,-0.0070649,0.0256252,0.0005551,0.0255659,-0.0072779
1/31/2007,0.0152101,-0.0002806,0.0026666,0.0135719,0.0138394,-0.0031767
2/28/2007,-0.01844,0.0138148,0.0077071,-0.0127589,0.011496,-0.0050509
3/30/2007,0.0086301,-0.0051168,0.0028967,0.0206896,0.0011456,0.0023727
4/30/2007,0.0365758,-0.0203569,-0.0069988,0.000424,0.0087017,-0.0017769
5/31/2007,0.035407,-0.0047343,0.0046525,-0.0028717,-0.0102971,0.006093
6/29/2007,-0.0190593,0.0076653,-0.0059542,0.0016548,0.0080499,0.0108958
7/31/2007,-0.0358478,-0.0279272,-0.0317086,0.0290394,-0.006289,0.0236823
8/31/2007,0.0074535,-0.0046985,-0.0267524,-0.0007862,-0.0291539,0.0134863
9/28/2007,0.037309,-0.0248105,-0.0115589,0.0368465,0.0140002,-0.0078839
10/31/2007,0.0227511,-0.0007419,-0.024853,0.0610576,0.0021553,0.0015023
11/30/2007,-0.0531025,-0.0297017,-0.0157506,0.0091071,-0.0403054,0.0365885
12/31/2007,-0.0071599,-0.0012539,-0.0024759,0.0549078,-0.0249025,0.0176638
1/31/2008,-0.0652493,-0.0036834,0.0401161,-0.0943694,-0.020406,-0.0095304
2/29/2008,-0.0246362,-0.0013308,-0.0104733,0.0768145,0.0225794,0.0213901
3/31/2008,-0.0123174,0.0014308,-0.0066105,0.021867,-0.0672092,0.0215858
4/30/2008,0.0505142,-0.0203422,-0.0046322,0.009688,-0.0212043,-0.0123578
5/30/2008,0.0221747,0.0280162,-0.0180342,0.0342344,0.0088457,0.0118356
6/30/2008,-0.0806458,-0.0015899,-0.028064,0.1112758,0.0047195,0.0330618
7/31/2008,-0.0135919,0.0253539,0.0179098,-0.0656075,-0.0675818,0.0066238
8/29/2008,0.0107697,0.0215515,0.0185013,-0.0518007,-0.0131716,0.0253595
9/30/2008,-0.0988235,0.0014891,0.0320896,0.0034933,-0.0908453,0.0335411
10/31/2008,-0.1853197,-0.0352399,-0.0205359,0.0733098,-0.0503817,0.0874591
11/28/2008,-0.0846821,-0.0541018,-0.0232307,0.0663135,-0.0351792,0.0793862
12/31/2008,0.0214311,0.0334896,-0.0105844,-0.0618546,-0.0762113,-0.0025682
1/30/2009,-0.078705,0.0286015,-0.0869855,-0.0124275,0.1191247,0.0330361
2/27/2009,-0.1010924,-0.003662,-0.0606143,0.0457704,-0.0033941,0.0528053
3/31/2009,0.0894458,-0.0034222,0.0089681,-0.1024514,-0.0264329,-0.0309141
4/30/2009,0.1103952,0.065132,0.0263498,-0.3462769,-0.0787055,-0.0690331
5/29/2009,0.0659512,0.0043152,-0.0042449,-0.1438147,0.0650447,-0.0581514
6/30/2009,-0.0030966,0.0254661,-0.0177961,0.0542721,0.0912301,0.0304876
7/31/2009,0.0822336,0.0108466,0.057936,-0.0465893,-0.0361494,-0.0439043
8/31/2009,0.0318939,-0.0001648,0.0704751,-0.0998921,-0.0235172,-0.0637411
9/30/2009,0.0449125,0.0243933,0.0286396,-0.0537194,-0.0041822,-0.0251789
10/30/2009,-0.0276608,-0.0312231,-0.0402574,0.0146598,0.0079469,0.0559107
11/30/2009,0.0574258,-0.0307126,-0.001822,0.0139132,-0.0117993,-0.0029449
12/31/2009,0.0283045,0.0509943,0.00791,0.0209186,0.0092757,-0.0036727
1/29/2010,-0.037285,0.0104663,0.0064883,-0.0483985,0.0101606,-0.0047998
2/26/2010,0.0356448,0.0079559,0.0269489,0.0375361,0.0072704,-0.0071806
3/31/2010,0.0645261,0.0140269,0.026982,0.038807,0.0154705,-0.0299946
4/30/2010,0.0214015,0.0440162,0.0297977,0.0254787,0.0149222,-0.0352755
5/31/2010,-0.0800282,0.0000981,-0.0307916,-0.0046649,-0.0056119,0.024413
6/30/2010,-0.0539036,-0.0205788,-0.0396519,-0.025676,0.0232295,0.0263941
7/30/2010,0.0717918,-0.0074343,0.0122315,0.0173739,-0.0229933,-0.0190006
8/31/2010,-0.0448232,-0.023373,-0.0156695,0.0123684,0.0160329,0.01108
9/30/2010,0.0933677,0.029447,-0.0252756,0.0071516,-0.0119045,-0.0029922
10/29/2010,0.0399431,0.0057603,-0.0126301,0.010573,0.0207035,0.002698
11/30/2010,0.0065267,0.0323783,0.000042,0.0234429,-0.0050263,-0.0065706
12/31/2010,0.0684273,0.0105641,0.0289636,-0.0280434,-0.001338,-0.0463004
1/31/2011,0.0205794,-0.0197705,0.0099829,-0.0049499,0.030173,-0.0080329
2/28/2011,0.0383709,0.0133134,0.0079369,0.0199572,0.0070557,-0.0137972
3/31/2011,0.0030412,0.0174374,-0.0107468,0.0287519,0.0038814,0.012725
4/29/2011,0.0282647,-0.0053755,-0.0170206,0.00092,0.0056431,0.0144165
5/31/2011,-0.0145149,-0.0077421,-0.0120643,-0.0041034,0.0140537,0.0289298
6/30/2011,-0.01886,-0.0070085,-0.004047,0.0186986,0.0041014,0.0287357
7/29/2011,-0.0232167,-0.0067839,-0.0164145,0.0082688,-0.0040723,0.0065045
8/31/2011,-0.0592858,-0.0283984,-0.0168678,0.0004882,0.0075801,0.0595468
9/30/2011,-0.0850011,-0.025578,-0.0083087,-0.0199036,0.0203042,0.0657219
10/31/2011,0.1162047,0.0264017,-0.0101679,-0.0131844,-0.0597877,-0.0418552
11/30/2011,-0.006147,-0.0006377,-0.0047866,0.0392205,0.0061203,0.0305642
12/30/2011,0.004893,-0.005198,0.0213482,0.0228136,0.0125827,0.0086173
1/31/2012,0.0541446,0.0269473,-0.0235719,-0.0702452,0.0068634,-0.0361245
2/29/2012,0.0424689,-0.0132879,0.0060046,-0.0001035,0.0255611,-0.0089659
3/30/2012,0.0256017,-0.0041641,0.0027827,0.0221541,0.039668,0.0057403
4/30/2012,-0.0067599,-0.0056497,-0.0021196,0.0326494,0.0290161,0.0049195
5/31/2012,-0.0663891,-0.0023693,0.0068168,0.0679194,0.0231711,0.0312708
6/29/2012,0.0380714,0.0062686,0.0089427,-0.0059587,0.0106262,-0.0061849
7/31/2012,0.0098508,-0.0196935,-0.0041354,0.0315819,0.0105667,0.0063721
8/31/2012,0.0270409,0.006678,0.0028214,-0.0271779,-0.0086718,-0.0054775
9/28/2012,0.0264891,0.005479,0.0128731,-0.017992,0.0078548,-0.0119549
10/31/2012,-0.0147191,-0.0113007,0.0351867,0.0051429,0.0202232,-0.0213346
11/30/2012,0.0059219,0.0043493,-0.0110423,0.0041573,-0.0136008,0.0129669
12/31/2012,0.0123037,0.0169887,0.024142,-0.0204881,-0.0106036,-0.0243394
1/31/2013,0.0555877,0.0061933,0.0132147,-0.00975,0.0440381,-0.0207051
2/28/2013,0.0093821,-0.0015136,0.0017037,0.0205758,0.018631,0.0049445
3/29/2013,0.0368672,0.0072682,-0.0014699,0.0183223,0.0234279,-0.0043596
4/30/2013,0.0152533,-0.0198507,0.0041697,0.0107881,0.016823,-0.0099079
5/31/2013,0.0213481,0.0232641,0.0008521,-0.0127823,-0.0149376,0.0021737
6/28/2013,-0.0140058,0.011966,0.0009503,0.0065727,0.0209246,0.0135838
7/31/2013,0.0543209,0.0150211,0.0047909,0.0137807,0.0178753,-0.0104095
8/30/2013,-0.0260943,-0.0015585,-0.0169507,-0.0041408,-0.0037423,0.0087522
9/30/2013,0.0377443,0.0254172,-0.0098184,0.0309792,0.0076603,-0.0083169
10/31/2013,0.0407461,-0.0153101,0.0079825,0.0079715,0.0288889,0.0151368
11/29/2013,0.0265131,0.0106707,-0.006165,0.0182146,0.019404,0.0152606
12/31/2013,0.0269941,-0.0009847,0.0005452,0.0113652,0.0027991,-0.014343
1/31/2014,-0.0302976,0.0073556,-0.0091329,0.0076052,0.0203081,-0.0365737
2/28/2014,0.0468133,0.0018446,-0.0063319,0.0134262,-0.001821,-0.0072425
3/31/2014,0.0042233,-0.0075567,0.0317509,-0.0193899,0.0156606,0.0161488
4/30/2014,0.0010392,-0.0360432,0.0138501,-0.0431437,0.0019403,0.0036223
5/30/2014,0.0202827,-0.0139459,-0.0027517,0.0118308,0.0107504,0.002155
6/30/2014,0.0288342,0.0278805,-0.0015481,0.0060879,-0.0039761,-0.0182006
7/31/2014,-0.0208218,-0.0359392,0.0017843,-0.0007741,0.0101765,0.0111074
8/29/2014,0.0412811,0.0036591,-0.0111055,0.0096041,0.0166258,-0.002585
9/30/2014,-0.0251164,-0.0394186,-0.0271159,0.0111278,0.0246691,0.0356394
10/31/2014,0.0222622,0.0204189,-0.0320404,-0.0014825,0.0208001,0.0424864
11/28/2014,0.0220846,-0.026298,-0.0238672,0.0088696,0.0238124,0.0279156
12/31/2014,-0.002764,0.0159934,0.001231,0.01083,0.00288,0.0024324
1/30/2015,-0.0290981,-0.0037668,-0.0191573,0.0534423,0.0263139,-0.0110533
2/27/2015,0.0578152,0.0115443,-0.0241374,-0.0325317,-0.0208535,0.0048028
3/31/2015,-0.0102388,0.0183983,-0.0130121,0.0342159,0.0138207,0.0011068
