Date,CALF,EES,EPS,EZM,FNDA,FNDB,FNDX,IUS,IUSS,PRF,PRFZ,RWJ,RWK,RWL
31/12/2002,2536.385,1543.726,1932.85317,2470.26703,1543.726,394.6339,394.6339,394.6339,1543.726,394.6339,1543.726,2536.385,708.4285,394.6339
31/01/2003,2464.972,1501,1886.00527,2420.30869,1501,385.0804,385.0804,385.0804,1501,385.0804,1501,2464.972,688.8071,385.0804
28/02/2003,2382.106,1455.647,1856.8277,2388.25238,1455.647,374.8144,374.8144,374.8144,1455.647,374.8144,1455.647,2382.106,677.3887,374.8144
31/03/2003,2407.548,1474.391,1876.04872,2411.8296,1474.391,375.4366,375.4366,375.4366,1474.391,375.4366,1474.391,2407.548,679.7007,375.4366
30/04/2003,2636.228,1614.189,2027.50335,2587.01272,1614.189,408.4839,408.4839,408.4839,1614.189,408.4839,1614.189,2636.228,731.3881,408.4839
30/05/2003,2905.399,1787.412,2143.10254,2823.77532,1787.412,434.8518,434.8518,434.8518,1787.412,434.8518,1787.412,2905.399,795.7623,434.8518
30/06/2003,2954.628,1819.758,2171.28754,2852.31332,1819.758,440.2891,440.2891,440.2891,1819.758,440.2891,1819.758,2954.628,801.3203,440.2891
31/07/2003,3101.971,1933.621,2214.55363,2946.31663,1933.621,446.8451,446.8451,446.8451,1933.621,446.8451,1933.621,3101.971,826.2242,446.8451
29/08/2003,3219.801,2022.275,2259.49759,3074.27463,2022.275,453.808,453.808,453.808,2022.275,453.808,2022.275,3219.801,855.5619,453.808
30/09/2003,3182.868,1984.947,2236.3563,3035.75216,1984.947,449.3805,449.3805,449.3805,1984.947,449.3805,1984.947,3182.868,848.9172,449.3805
31/10/2003,3442.404,2151.636,2367.48263,3267.46366,2151.636,476.8818,476.8818,476.8818,2151.636,476.8818,2151.636,3442.404,911.2281,476.8818
28/11/2003,3574.545,2227.994,2395.86914,3359.17178,2227.994,483.3513,483.3513,483.3513,2227.994,483.3513,2227.994,3574.545,937.6322,483.3513
