Date,CALF,EES,EPS,EZM,FNDA,FNDB,FNDX,IUS,IUSS,PRF,PRFZ,RWJ,RWK,RWL
31/12/2002,2536.385,1543.726,1932.85317,2470.26703,1543.726,394.6339,394.6339,394.6339,1543.726,394.6339,1543.726,2536.385,708.4285,394.6339
02/01/2003,2595.868,1581.946,1996.03206,2543.26248,1581.946,406.9049,406.9049,406.9049,1581.946,406.9049,1581.946,2595.868,727.5383,406.9049
03/01/2003,2579.398,1572.841,1995.11713,2537.58036,1572.841,406.8448,406.8448,406.8448,1572.841,406.8448,1572.841,2579.398,725.9263,406.8448
06/01/2003,2621.436,1599.778,2040.40885,2586.31465,1599.778,418.5167,418.5167,418.5167,1599.778,418.5167,1599.778,2621.436,740.8474,418.5167
07/01/2003,2598.193,1587.519,2026.39785,2566.24789,1587.519,414.3572,414.3572,414.3572,1587.519,414.3572,1587.519,2598.193,733.0684,414.3572
08/01/2003,2566.179,1567.995,1998.60075,2534.31984,1567.995,408.6082,408.6082,408.6082,1567.995,408.6082,1567.995,2566.179,726.0488,408.6082
09/01/2003,2605.344,1595.715,2036.1036,2577.70974,1595.715,415.6825,415.6825,415.6825,1595.715,415.6825,1595.715,2605.344,736.3666,415.6825
10/01/2003,2606.251,1597.796,2036.49597,2581.48891,1597.796,415.3453,415.3453,415.3453,1597.796,415.3453,1597.796,2606.251,736.144,415.3453
13/01/2003,2605.484,1596.9,2033.87748,2570.68578,1596.9,414.6969,414.6969,414.6969,1596.9,414.6969,1596.9,2605.484,733.426,414.6969
14/01/2003,2621.658,1606.055,2045.46611,2578.34916,1606.055,417.4384,417.4384,417.4384,1606.055,417.4384,1606.055,2621.658,735.7691,417.4384
15/01/2003,2604.308,1594.449,2017.14252,2554.5337,1594.449,412.1844,412.1844,412.1844,1594.449,412.1844,1594.449,2604.308,729.625,412.1844
16/01/2003,2602.709,1591.872,2009.28612,2547.87979,1591.872,410.4906,410.4906,410.4906,1591.872,410.4906,1591.872,2602.709,727.2023,410.4906
17/01/2003,2563.205,1564.542,1981.74655,2513.11212,1564.542,406.2073,406.2073,406.2073,1564.542,406.2073,1564.542,2563.205,719.7404,406.2073
21/01/2003,2533.037,1544.749,1951.4046,2474.5071,1544.749,399.1774,399.1774,399.1774,1544.749,399.1774,1544.749,2533.037,708.714,399.1774
22/01/2003,2512.113,1534.142,1932.4084,2456.35105,1534.142,394.5113,394.5113,394.5113,1534.142,394.5113,1534.142,2512.113,701.1073,394.5113
23/01/2003,2531.81,1546.883,1951.49771,2485.03538,1546.883,397.1654,397.1654,397.1654,1546.883,397.1654,1546.883,2531.81,707.9554,397.1654
24/01/2003,2479.089,1512.164,1896.26312,2428.8351,1512.164,386.2464,386.2464,386.2464,1512.164,386.2464,1512.164,2479.089,692.3804,386.2464
27/01/2003,2440.52,1486.019,1865.25499,2385.62774,1486.019,379.6417,379.6417,379.6417,1486.019,379.6417,1486.019,2440.52,679.3969,379.6417
28/01/2003,2468.505,1504.584,1889.26673,2416.04524,1504.584,384.2145,384.2145,384.2145,1504.584,384.2145,1504.584,2468.505,687.0171,384.2145
29/01/2003,2475.187,1511.592,1902.19615,2431.65749,1511.592,387.0261,387.0261,387.0261,1511.592,387.0261,1511.592,2475.187,690.4156,387.0261
30/01/2003,2430.969,1482.597,1860.81431,2391.85281,1482.597,379.122,379.122,379.122,1482.597,379.122,1482.597,2430.969,679.8839,379.122
31/01/2003,2464.972,1501,1886.00527,2420.30869,1501,385.0804,385.0804,385.0804,1501,385.0804,1501,2464.972,688.8071,385.0804
03/02/2003,2455.3,1493.28,1894.63922,2423.70985,1493.28,387.2056,387.2056,387.2056,1493.28,387.2056,1493.28,2455.3,690.8025,387.2056
04/02/2003,2447.196,1487.146,1868.89825,2396.56682,1487.146,382.281,382.281,382.281,1487.146,382.281,1487.146,2447.196,683.7867,382.281
05/02/2003,2435.769,1480.292,1859.37242,2388.82858,1480.292,380.009,380.009,380.009,1480.292,380.009,1480.292,2435.769,681.0094,380.009
06/02/2003,2422.299,1471.343,1847.92185,2373.01229,1471.343,376.9282,376.9282,376.9282,1471.343,376.9282,1471.343,2422.299,676.625,376.9282
07/02/2003,2379.426,1447.349,1829.40534,2349.65898,1447.349,373.2549,373.2549,373.2549,1447.349,373.2549,1447.349,2379.426,669.9742,373.2549
10/02/2003,2404.143,1460.717,1842.87633,2367.60817,1460.717,375.7027,375.7027,375.7027,1460.717,375.7027,1460.717,2404.143,675.2626,375.7027
11/02/2003,2384.984,1452.135,1828.45979,2355.08709,1452.135,371.9626,371.9626,371.9626,1452.135,371.9626,1452.135,2384.984,669.9811,371.9626
12/02/2003,2358.085,1434.105,1805.05658,2320.57261,1434.105,366.7244,366.7244,366.7244,1434.105,366.7244,1434.105,2358.085,660.6058,366.7244
13/02/2003,2355.808,1431.722,1801.37298,2309.04867,1431.722,366.8491,366.8491,366.8491,1431.722,366.8491,1431.722,2355.808,659.7874,366.8491
14/02/2003,2371.515,1446.797,1837.20316,2342.40649,1446.797,373.3398,373.3398,373.3398,1446.797,373.3398,1446.797,2371.515,667.5934,373.3398
