Date,CFA,CFO,CSA,CSF,DEF,FDLO,JMIN,LGLV,ONEV,RBUS,SMLV,SMMV,SPLV,SPMV,USMV,XMLV,XRLV,XSLV
12/31/2002,1932.85317,1932.85317,1543.726,1543.726,1932.85317,1932.85317,1932.85317,1932.85317,708.4285,1932.85317,1543.726,1543.726,394.6339,1932.85317,1932.85317,2470.26703,1932.85317,1543.726
1/31/2003,1886.00527,1886.00527,1501,1501,1886.00527,1886.00527,1886.00527,1886.00527,688.8071,1886.00527,1501,1501,385.0804,1886.00527,1886.00527,2420.30869,1886.00527,1501
2/28/2003,1856.8277,1856.8277,1455.647,1455.647,1856.8277,1856.8277,1856.8277,1856.8277,677.3887,1856.8277,1455.647,1455.647,374.8144,1856.8277,1856.8277,2388.25238,1856.8277,1455.647
3/31/2003,1876.04872,1876.04872,1474.391,1474.391,1876.04872,1876.04872,1876.04872,1876.04872,679.7007,1876.04872,1474.391,1474.391,375.4366,1876.04872,1876.04872,2411.8296,1876.04872,1474.391
4/30/2003,2027.50335,2027.50335,1614.189,1614.189,2027.50335,2027.50335,2027.50335,2027.50335,731.3881,2027.50335,1614.189,1614.189,408.4839,2027.50335,2027.50335,2587.01272,2027.50335,1614.189
5/30/2003,2143.10254,2143.10254,1787.412,1787.412,2143.10254,2143.10254,2143.10254,2143.10254,795.7623,2143.10254,1787.412,1787.412,434.8518,2143.10254,2143.10254,2823.77532,2143.10254,1787.412
6/30/2003,2171.28754,2171.28754,1819.758,1819.758,2171.28754,2171.28754,2171.28754,2171.28754,801.3203,2171.28754,1819.758,1819.758,440.2891,2171.28754,2171.28754,2852.31332,2171.28754,1819.758
7/31/2003,2214.55363,2214.55363,1933.621,1933.621,2214.55363,2214.55363,2214.55363,2214.55363,826.2242,2214.55363,1933.621,1933.621,446.8451,2214.55363,2214.55363,2946.31663,2214.55363,1933.621
8/29/2003,2259.49759,2259.49759,2022.275,2022.275,2259.49759,2259.49759,2259.49759,2259.49759,855.5619,2259.49759,2022.275,2022.275,453.808,2259.49759,2259.49759,3074.27463,2259.49759,2022.275
9/30/2003,2236.3563,2236.3563,1984.947,1984.947,2236.3563,2236.3563,2236.3563,2236.3563,848.9172,2236.3563,1984.947,1984.947,449.3805,2236.3563,2236.3563,3035.75216,2236.3563,1984.947
10/31/2003,2367.48263,2367.48263,2151.636,2151.636,2367.48263,2367.48263,2367.48263,2367.48263,911.2281,2367.48263,2151.636,2151.636,476.8818,2367.48263,2367.48263,3267.46366,2367.48263,2151.636
11/28/2003,2395.86914,2395.86914,2227.994,2227.994,2395.86914,2395.86914,2395.86914,2395.86914,937.6322,2395.86914,2227.994,2227.994,483.3513,2395.86914,2395.86914,3359.17178,2395.86914,2227.994
12/31/2003,2510.59813,2510.59813,2273.195,2273.195,2510.59813,2510.59813,2510.59813,2510.59813,978.10798,2510.59813,2273.195,2273.195,513.1447,2510.59813,2510.59813,3459.83636,2510.59813,2273.195
1/30/2004,2558.31933,2558.31933,2371.956,2371.956,2558.31933,2558.31933,2558.31933,2558.31933,1003.91685,2558.31933,2371.956,2371.956,522.1683,2558.31933,2558.31933,3560.35144,2558.31933,2371.956
