Date,CFA,CFO,CSA,CSF,DEF,FDLO,JMIN,LGLV,ONEV,RBUS,SMLV,SMMV,SPLV,SPMV,USMV,XMLV,XRLV,XSLV
31/12/2002,1932.85317,1932.85317,1543.726,1543.726,1932.85317,1932.85317,1932.85317,1932.85317,708.4285,1932.85317,1543.726,1543.726,394.6339,1932.85317,1932.85317,2470.26703,1932.85317,1543.726
02/01/2003,1996.03206,1996.03206,1581.946,1581.946,1996.03206,1996.03206,1996.03206,1996.03206,727.5383,1996.03206,1581.946,1581.946,406.9049,1996.03206,1996.03206,2543.26248,1996.03206,1581.946
03/01/2003,1995.11713,1995.11713,1572.841,1572.841,1995.11713,1995.11713,1995.11713,1995.11713,725.9263,1995.11713,1572.841,1572.841,406.8448,1995.11713,1995.11713,2537.58036,1995.11713,1572.841
06/01/2003,2040.40885,2040.40885,1599.778,1599.778,2040.40885,2040.40885,2040.40885,2040.40885,740.8474,2040.40885,1599.778,1599.778,418.5167,2040.40885,2040.40885,2586.31465,2040.40885,1599.778
07/01/2003,2026.39785,2026.39785,1587.519,1587.519,2026.39785,2026.39785,2026.39785,2026.39785,733.0684,2026.39785,1587.519,1587.519,414.3572,2026.39785,2026.39785,2566.24789,2026.39785,1587.519
08/01/2003,1998.60075,1998.60075,1567.995,1567.995,1998.60075,1998.60075,1998.60075,1998.60075,726.0488,1998.60075,1567.995,1567.995,408.6082,1998.60075,1998.60075,2534.31984,1998.60075,1567.995
09/01/2003,2036.1036,2036.1036,1595.715,1595.715,2036.1036,2036.1036,2036.1036,2036.1036,736.3666,2036.1036,1595.715,1595.715,415.6825,2036.1036,2036.1036,2577.70974,2036.1036,1595.715
10/01/2003,2036.49597,2036.49597,1597.796,1597.796,2036.49597,2036.49597,2036.49597,2036.49597,736.144,2036.49597,1597.796,1597.796,415.3453,2036.49597,2036.49597,2581.48891,2036.49597,1597.796
13/01/2003,2033.87748,2033.87748,1596.9,1596.9,2033.87748,2033.87748,2033.87748,2033.87748,733.426,2033.87748,1596.9,1596.9,414.6969,2033.87748,2033.87748,2570.68578,2033.87748,1596.9
14/01/2003,2045.46611,2045.46611,1606.055,1606.055,2045.46611,2045.46611,2045.46611,2045.46611,735.7691,2045.46611,1606.055,1606.055,417.4384,2045.46611,2045.46611,2578.34916,2045.46611,1606.055
