Date, Open, High, Low, Close
03/28/22, 3331.41, 3331.41, 3331.41, 3331.41
03/25/22, 3308.44, 3308.44, 3308.44, 3308.44
03/24/22, 3296.12, 3296.12, 3296.12, 3296.12
03/23/22, 3250.63, 3250.63, 3250.63, 3250.63
03/22/22, 3292.67, 3292.67, 3292.67, 3292.67
03/21/22, 3253.75, 3253.75, 3253.75, 3253.75
03/18/22, 3259.60, 3259.60, 3259.60, 3259.60
03/17/22, 3219.22, 3219.22, 3219.22, 3219.22
03/16/22, 3176.05, 3176.05, 3176.05, 3176.05
03/15/22, 3099.39, 3099.39, 3099.39, 3099.39
03/14/22, 3036.39, 3036.39, 3036.39, 3036.39
03/11/22, 3066.13, 3066.13, 3066.13, 3066.13
03/10/22, 3109.99, 3109.99, 3109.99, 3109.99
03/09/22, 3123.70, 3123.70, 3123.70, 3123.70
03/08/22, 3041.86, 3041.86, 3041.86, 3041.86
03/07/22, 3058.49, 3058.49, 3058.49, 3058.49
03/04/22, 3155.07, 3155.07, 3155.07, 3155.07
03/03/22, 3186.96, 3186.96, 3186.96, 3186.96
03/02/22, 3211.52, 3211.52, 3211.52, 3211.52
03/01/22, 3151.76, 3151.76, 3151.76, 3151.76
02/28/22, 3202.08, 3202.08, 3202.08, 3202.08
02/25/22, 3205.81, 3205.81, 3205.81, 3205.81
02/24/22, 3135.24, 3135.24, 3135.24, 3135.24
02/23/22, 3081.48, 3081.48, 3081.48, 3081.48
02/22/22, 3141.21, 3141.21, 3141.21, 3141.21
02/18/22, 3176.13, 3176.13, 3176.13, 3176.13
02/17/22, 3202.00, 3202.00, 3202.00, 3202.00
02/16/22, 3275.47, 3275.47, 3275.47, 3275.47
02/15/22, 3274.66, 3274.66, 3274.66, 3274.66
02/14/22, 3217.51, 3217.51, 3217.51, 3217.51
02/11/22, 3230.62, 3230.62, 3230.62, 3230.62
02/10/22, 3292.39, 3292.39, 3292.39, 3292.39
02/09/22, 3350.88, 3350.88, 3350.88, 3350.88
02/08/22, 3297.99, 3297.99, 3297.99, 3297.99
02/07/22, 3267.52, 3267.52, 3267.52, 3267.52
02/04/22, 3276.04, 3276.04, 3276.04, 3276.04
02/03/22, 3254.04, 3254.04, 3254.04, 3254.04
02/02/22, 3336.37, 3336.37, 3336.37, 3336.37
02/01/22, 3315.95, 3315.95, 3315.95, 3315.95
01/31/22, 3290.06, 3290.06, 3290.06, 3290.06
01/28/22, 3220.06, 3220.06, 3220.06, 3220.06
01/27/22, 3143.36, 3143.36, 3143.36, 3143.36
01/26/22, 3166.19, 3166.19, 3166.19, 3166.19
01/25/22, 3176.85, 3176.85, 3176.85, 3176.85
01/24/22, 3220.54, 3220.54, 3220.54, 3220.54
01/21/22, 3204.13, 3204.13, 3204.13, 3204.13
01/20/22, 3268.41, 3268.41, 3268.41, 3268.41
01/19/22, 3306.54, 3306.54, 3306.54, 3306.54
01/18/22, 3340.09, 3340.09, 3340.09, 3340.09
