Date,DWAS,DWPP,FDMO,FV,FVC,JMOM,MMTM,MTUM,ONEO,PDP,PEZ,PFI,PRN,PSL,PTF,PTH,PUI,PXI,PYZ,SPMO,XMMO,XSMO
31/12/2002,1285.51143,1932.85317,283.7482,283.7482,283.7482,283.7482,283.7482,283.7482,2470.26703,283.7482,186.6517,359.46135,210.0429,243.3816,2969.30068,322.6467,154.8033,231.0352,87.7306,283.7482,520.53074,1285.51143
31/01/2003,1250.58854,1886.00527,276.8631,276.8631,276.8631,276.8631,276.8631,276.8631,2420.30869,276.8631,180.5088,353.29323,199.6466,234.8696,2933.32168,321.6526,149.8098,224.5263,85.61524,276.8631,515.42014,1250.58854
28/02/2003,1217.23949,1856.8277,275.5916,275.5916,275.5916,275.5916,275.5916,275.5916,2388.25238,275.5916,177.9628,342.5953,195.9421,228.2635,2997.73586,315.3307,143.4223,230.2438,86.95255,275.5916,510.93835,1217.23949
31/03/2003,1235.66702,1876.04872,280.7208,280.7208,280.7208,280.7208,280.7208,280.7208,2411.8296,280.7208,182.5338,341.3087,198.7102,227.816,2947.63577,326.69,150.022,231.9461,86.21456,280.7208,520.45258,1235.66702
30/04/2003,1352.61037,2027.50335,301.4764,301.4764,301.4764,301.4764,301.4764,301.4764,2587.01272,301.4764,203.7345,381.57265,219.2141,235.3449,3229.75355,338.1365,161.9969,231.0641,87.24483,301.4764,555.88878,1352.61037
30/05/2003,1505.03695,2143.10254,316.5245,316.5245,316.5245,316.5245,316.5245,316.5245,2823.77532,316.5245,214.7359,402.34726,225.715,246.409,3529.25301,347.2954,178.7538,252.7551,96.82264,316.5245,609.37669,1505.03695
30/06/2003,1534.0417,2171.28754,320.8829,320.8829,320.8829,320.8829,320.8829,320.8829,2852.31332,320.8829,218.9452,403.58452,229.9227,249.1014,3520.60132,362.0228,180.3639,249.1527,96.98077,320.8829,618.06742,1534.0417
31/07/2003,1650.01016,2214.55363,328.8676,328.8676,328.8676,328.8676,328.8676,328.8676,2946.31663,328.8676,224.1366,422.26184,238.0837,248.0016,3737.53383,359.9197,170.1214,241.6386,94.95666,328.8676,640.15397,1650.01016
29/08/2003,1738.63568,2259.49759,337.0469,337.0469,337.0469,337.0469,337.0469,337.0469,3074.27463,337.0469,236.1073,418.93571,248.7384,252.9246,3985.22299,348.2378,173.4907,256.9902,100.7653,337.0469,675.40826,1738.63568
30/09/2003,1694.62415,2236.3563,333.4387,333.4387,333.4387,333.4387,333.4387,333.4387,3035.75216,333.4387,225.264,421.73376,241.7748,252.7271,3942.28856,349.4617,180.4931,250.2984,99.10027,333.4387,662.31244,1694.62415
