Date,DWAS,DWPP,FDMO,FV,FVC,JMOM,MMTM,MTUM,ONEO,PDP,PEZ,PFI,PRN,PSL,PTF,PTH,PUI,PXI,PYZ,SPMO,XMMO,XSMO
31/12/2002,1285.51143,1932.85317,283.7482,283.7482,283.7482,283.7482,283.7482,283.7482,2470.26703,283.7482,186.6517,359.46135,210.0429,243.3816,2969.30068,322.6467,154.8033,231.0352,87.7306,283.7482,520.53074,1285.51143
02/01/2003,1319.10132,1996.03206,293.4633,293.4633,293.4633,293.4633,293.4633,293.4633,2543.26248,293.4633,193.1755,371.71815,216.5876,247.9843,3109.97476,331.8143,158.1289,235.849,89.74558,293.4633,537.77926,1319.10132
03/01/2003,1312.3252,1995.11713,293.2402,293.2402,293.2402,293.2402,293.2402,293.2402,2537.58036,293.2402,189.2867,371.48212,215.8403,247.3969,3131.05527,334.7068,159.2103,235.4821,89.66212,293.2402,536.56402,1312.3252
06/01/2003,1335.93952,2040.40885,298.1908,298.1908,298.1908,298.1908,298.1908,298.1908,2586.31465,298.1908,192.3081,382.22108,218.8333,248.5265,3239.73503,337.853,165.6783,238.4106,90.66663,298.1908,545.86603,1335.93952
07/01/2003,1327.38467,2026.39785,297.0438,297.0438,297.0438,297.0438,297.0438,297.0438,2566.24789,297.0438,191.8531,378.85507,216.7679,246.7213,3298.68467,333.2038,161.8622,229.8389,88.00231,297.0438,543.70938,1327.38467
08/01/2003,1311.09186,1998.60075,293.0147,293.0147,293.0147,293.0147,293.0147,293.0147,2534.31984,293.0147,189.6097,374.85792,213.6586,245.5482,3211.27244,330.049,162.9067,228.4255,86.98866,293.0147,534.79461,1311.09186
09/01/2003,1337.57105,2036.1036,298.928,298.928,298.928,298.928,298.928,298.928,2577.70974,298.928,194.9409,381.93304,216.7467,248.3767,3318.06622,334.551,163.1399,232.2584,88.38754,298.928,546.11279,1337.57105
10/01/2003,1340.64254,2036.49597,299.2777,299.2777,299.2777,299.2777,299.2777,299.2777,2581.48891,299.2777,195.7032,381.50633,216.1033,248.348,3347.21672,334.1502,162.119,229.7766,88.25726,299.2777,548.2459,1340.64254
13/01/2003,1339.52157,2033.87748,298.9729,298.9729,298.9729,298.9729,298.9729,298.9729,2570.68578,298.9729,195.3804,382.30358,215.4848,249.4805,3325.73846,334.2017,158.867,228.654,87.7499,298.9729,545.58113,1339.52157
14/01/2003,1346.54252,2045.46611,300.4115,300.4115,300.4115,300.4115,300.4115,300.4115,2578.34916,300.4115,195.8952,385.59275,215.8633,249.6089,3370.02189,334.0668,159.4717,229.5491,87.61889,300.4115,547.04754,1346.54252
