Date,MSCI US Minimum Volatility,MSCI US,MSCI US Momentum,MSCI US Quality,MSCI US High Dividend Yield,MSCI US Value,MSCI US Small Cap,MSCI US Equal Weight
"Jun 30, 1994",419.991,414.388,154.736,209.467,406.212,592.169,67.819,438.422
"Jul 29, 1994",430.102,427.442,159.462,214.238,416.972,610.769,69.265,453.331
"Aug 31, 1994",442.821,443.324,166.509,226.912,428.839,626.936,73.727,473.073
"Sep 30, 1994",438.976,433,161.408,224.901,419.767,603.99,72.533,460.635
"Oct 31, 1994",440.705,442,164.207,232.265,425.403,617.713,72.596,465.615
"Nov 30, 1994",422.71,425.963,155.712,229.605,411.538,591.901,69.202,444.475
"Dec 30, 1994",430.736,431.264,158.06,231.174,410.617,597.336,70.396,449.896
"Jan 31, 1995",439.603,442.209,159.89,238.051,429.091,613.312,69.453,459.97
"Feb 28, 1995",453.957,458.693,166.192,246.592,439.929,636.999,72.344,479.423
"Mar 31, 1995",466.344,470.035,173.507,253.537,447.287,651.991,73.539,491.723
"Apr 28, 1995",478.155,483.842,180.889,261.625,460.435,672.687,74.859,502.324
"May 31, 1995",492.605,501.775,187.201,271.72,482.244,698.397,75.99,519.538
"Jun 30, 1995",498.349,513.16,193.942,283.775,483.647,707.633,79.195,531.977
"Jul 31, 1995",513.307,529.623,200.649,292.465,492.287,733.239,83.721,550.324
"Aug 31, 1995",514.641,528.691,199.06,290.085,496.174,737.393,85.041,553.897
"Sep 29, 1995",533.258,551.427,208.182,302.635,524.166,761.057,86.424,568.384
"Oct 31, 1995",532.988,550.189,213.918,308.737,525.827,748.806,82.338,557.724
"Nov 30, 1995",558.372,573.394,219.585,318.791,547.823,785.546,85.418,585.75
"Dec 29, 1995",572.184,581.071,221.141,317.841,569.005,801.314,87.115,591.247
"Jan 31, 1996",591.917,600.799,231.673,329.942,582.207,825.176,86.675,608.344
"Feb 29, 1996",588.219,606.038,235.457,334.84,583.297,829.974,89.063,616.643
"Mar 29, 1996",593.171,611.159,234.736,332.796,588.007,842.97,90.635,627.718
