Date,BFOR,CLRG,CSM,CSML,DEUS,DVLU,DVOL,FAB,FAD,FEX,FLQL,FLQM,FLQS,FNK,FNX,FNY,FTA,FTC,FTXG,FTXH,FTXL,FTXN,FTXO,FTXR,FXD,FXG,FXH,FXL,FXN,FXO,FXR,FXU,FXZ,FYC,FYT,FYX,GRES,GSLC,GSSC,JHMA,JHMC,JHME,JHMF,JHMH,JHMI,JHML,JHMM,JHMS,JHMT,JHMU,JHSC,JPME,JPSE,JPUS,JSMD,KNG,LRGF,MFUS,OMFL,OMFS,PBE,PBJ,PBS,PEJ,PJP,PKB,PSC,PSI,PSJ,PWC,PXE,PXJ,PXQ,QARP,QLC,QUS,SMLF,SPGP,SPVM,SQLV,TILT,TUSA,ULVM,USEQ,USMC,USMF,USVM,VALQ,VSMV,VUSE,XSVM
12/31/2002,520.53074,394.6339,1932.85317,1543.726,2470.26703,708.4285,1932.85317,708.4285,520.53074,1932.85317,1932.85317,2470.26703,1543.726,708.4285,2470.26703,520.53074,394.6339,283.7482,243.3816,322.6467,2969.30068,231.0352,359.46135,210.0429,186.6517,243.3816,322.6467,2969.30068,231.0352,359.46135,210.0429,154.8033,87.7306,1285.51143,2536.385,1543.726,87.7306,1932.85317,1543.726,87.7306,186.6517,231.0352,359.46135,322.6467,210.0429,1932.85317,2470.26703,243.3816,2969.30068,154.8033,1543.726,2470.26703,1543.726,1932.85317,520.53074,394.6339,394.6339,1932.85317,1932.85317,1543.726,322.6467,243.3816,186.6517,186.6517,322.6467,210.0429,1543.726,2969.30068,2969.30068,2470.26703,231.0352,231.0352,2969.30068,1932.85317,1932.85317,1932.85317,1543.726,283.7482,394.6339,1757.21119,1932.85317,2470.26703,394.6339,2470.26703,1932.85317,2470.26703,1543.726,394.6339,394.6339,708.4285,2536.385
1/31/2003,515.42014,385.0804,1886.00527,1501,2420.30869,688.8071,1886.00527,688.8071,515.42014,1886.00527,1886.00527,2420.30869,1501,688.8071,2420.30869,515.42014,385.0804,276.8631,234.8696,321.6526,2933.32168,224.5263,353.29323,199.6466,180.5088,234.8696,321.6526,2933.32168,224.5263,353.29323,199.6466,149.8098,85.61524,1250.58854,2464.972,1501,85.61524,1886.00527,1501,85.61524,180.5088,224.5263,353.29323,321.6526,199.6466,1886.00527,2420.30869,234.8696,2933.32168,149.8098,1501,2420.30869,1501,1886.00527,515.42014,385.0804,385.0804,1886.00527,1886.00527,1501,321.6526,234.8696,180.5088,180.5088,321.6526,199.6466,1501,2933.32168,2933.32168,2420.30869,224.5263,224.5263,2933.32168,1886.00527,1886.00527,1886.00527,1501,276.8631,385.0804,1839.49465,1886.00527,2420.30869,385.0804,2420.30869,1886.00527,2420.30869,1501,385.0804,385.0804,688.8071,2464.972
2/28/2003,510.93835,374.8144,1856.8277,1455.647,2388.25238,677.3887,1856.8277,677.3887,510.93835,1856.8277,1856.8277,2388.25238,1455.647,677.3887,2388.25238,510.93835,374.8144,275.5916,228.2635,315.3307,2997.73586,230.2438,342.5953,195.9421,177.9628,228.2635,315.3307,2997.73586,230.2438,342.5953,195.9421,143.4223,86.95255,1217.23949,2382.106,1455.647,86.95255,1856.8277,1455.647,86.95255,177.9628,230.2438,342.5953,315.3307,195.9421,1856.8277,2388.25238,228.2635,2997.73586,143.4223,1455.647,2388.25238,1455.647,1856.8277,510.93835,374.8144,374.8144,1856.8277,1856.8277,1455.647,315.3307,228.2635,177.9628,177.9628,315.3307,195.9421,1455.647,2997.73586,2997.73586,2388.25238,230.2438,230.2438,2997.73586,1856.8277,1856.8277,1856.8277,1455.647,275.5916,374.8144,1859.93765,1856.8277,2388.25238,374.8144,2388.25238,1856.8277,2388.25238,1455.647,374.8144,374.8144,677.3887,2382.106
3/31/2003,520.45258,375.4366,1876.04872,1474.391,2411.8296,679.7007,1876.04872,679.7007,520.45258,1876.04872,1876.04872,2411.8296,1474.391,679.7007,2411.8296,520.45258,375.4366,280.7208,227.816,326.69,2947.63577,231.9461,341.3087,198.7102,182.5338,227.816,326.69,2947.63577,231.9461,341.3087,198.7102,150.022,86.21456,1235.66702,2407.548,1474.391,86.21456,1876.04872,1474.391,86.21456,182.5338,231.9461,341.3087,326.69,198.7102,1876.04872,2411.8296,227.816,2947.63577,150.022,1474.391,2411.8296,1474.391,1876.04872,520.45258,375.4366,375.4366,1876.04872,1876.04872,1474.391,326.69,227.816,182.5338,182.5338,326.69,198.7102,1474.391,2947.63577,2947.63577,2411.8296,231.9461,231.9461,2947.63577,1876.04872,1876.04872,1876.04872,1474.391,280.7208,375.4366,1879.96196,1876.04872,2411.8296,375.4366,2411.8296,1876.04872,2411.8296,1474.391,375.4366,375.4366,679.7007,2407.548
4/30/2003,555.88878,408.4839,2027.50335,1614.189,2587.01272,731.3881,2027.50335,731.3881,555.88878,2027.50335,2027.50335,2587.01272,1614.189,731.3881,2587.01272,555.88878,408.4839,301.4764,235.3449,338.1365,3229.75355,231.0641,381.57265,219.2141,203.7345,235.3449,338.1365,3229.75355,231.0641,381.57265,219.2141,161.9969,87.24483,1352.61037,2636.228,1614.189,87.24483,2027.50335,1614.189,87.24483,203.7345,231.0641,381.57265,338.1365,219.2141,2027.50335,2587.01272,235.3449,3229.75355,161.9969,1614.189,2587.01272,1614.189,2027.50335,555.88878,408.4839,408.4839,2027.50335,2027.50335,1614.189,338.1365,235.3449,203.7345,203.7345,338.1365,219.2141,1614.189,3229.75355,3229.75355,2587.01272,231.0641,231.0641,3229.75355,2027.50335,2027.50335,2027.50335,1614.189,301.4764,408.4839,2024.42583,2027.50335,2587.01272,408.4839,2587.01272,2027.50335,2587.01272,1614.189,408.4839,408.4839,731.3881,2636.228
5/30/2003,609.37669,434.8518,2143.10254,1787.412,2823.77532,795.7623,2143.10254,795.7623,609.37669,2143.10254,2143.10254,2823.77532,1787.412,795.7623,2823.77532,609.37669,434.8518,316.5245,246.409,347.2954,3529.25301,252.7551,402.34726,225.715,214.7359,246.409,347.2954,3529.25301,252.7551,402.34726,225.715,178.7538,96.82264,1505.03695,2905.399,1787.412,96.82264,2143.10254,1787.412,96.82264,214.7359,252.7551,402.34726,347.2954,225.715,2143.10254,2823.77532,246.409,3529.25301,178.7538,1787.412,2823.77532,1787.412,2143.10254,609.37669,434.8518,434.8518,2143.10254,2143.10254,1787.412,347.2954,246.409,214.7359,214.7359,347.2954,225.715,1787.412,3529.25301,3529.25301,2823.77532,252.7551,252.7551,3529.25301,2143.10254,2143.10254,2143.10254,1787.412,316.5245,434.8518,2083.29891,2143.10254,2823.77532,434.8518,2823.77532,2143.10254,2823.77532,1787.412,434.8518,434.8518,795.7623,2905.399
6/30/2003,618.06742,440.2891,2171.28754,1819.758,2852.31332,801.3203,2171.28754,801.3203,618.06742,2171.28754,2171.28754,2852.31332,1819.758,801.3203,2852.31332,618.06742,440.2891,320.8829,249.1014,362.0228,3520.60132,249.1527,403.58452,229.9227,218.9452,249.1014,362.0228,3520.60132,249.1527,403.58452,229.9227,180.3639,96.98077,1534.0417,2954.628,1819.758,96.98077,2171.28754,1819.758,96.98077,218.9452,249.1527,403.58452,362.0228,229.9227,2171.28754,2852.31332,249.1014,3520.60132,180.3639,1819.758,2852.31332,1819.758,2171.28754,618.06742,440.2891,440.2891,2171.28754,2171.28754,1819.758,362.0228,249.1014,218.9452,218.9452,362.0228,229.9227,1819.758,3520.60132,3520.60132,2852.31332,249.1527,249.1527,3520.60132,2171.28754,2171.28754,2171.28754,1819.758,320.8829,440.2891,2154.71108,2171.28754,2852.31332,440.2891,2852.31332,2171.28754,2852.31332,1819.758,440.2891,440.2891,801.3203,2954.628
7/31/2003,640.15397,446.8451,2214.55363,1933.621,2946.31663,826.2242,2214.55363,826.2242,640.15397,2214.55363,2214.55363,2946.31663,1933.621,826.2242,2946.31663,640.15397,446.8451,328.8676,248.0016,359.9197,3737.53383,241.6386,422.26184,238.0837,224.1366,248.0016,359.9197,3737.53383,241.6386,422.26184,238.0837,170.1214,94.95666,1650.01016,3101.971,1933.621,94.95666,2214.55363,1933.621,94.95666,224.1366,241.6386,422.26184,359.9197,238.0837,2214.55363,2946.31663,248.0016,3737.53383,170.1214,1933.621,2946.31663,1933.621,2214.55363,640.15397,446.8451,446.8451,2214.55363,2214.55363,1933.621,359.9197,248.0016,224.1366,224.1366,359.9197,238.0837,1933.621,3737.53383,3737.53383,2946.31663,241.6386,241.6386,3737.53383,2214.55363,2214.55363,2214.55363,1933.621,328.8676,446.8451,2195.11546,2214.55363,2946.31663,446.8451,2946.31663,2214.55363,2946.31663,1933.621,446.8451,446.8451,826.2242,3101.971
8/29/2003,675.40826,453.808,2259.49759,2022.275,3074.27463,855.5619,2259.49759,855.5619,675.40826,2259.49759,2259.49759,3074.27463,2022.275,855.5619,3074.27463,675.40826,453.808,337.0469,252.9246,348.2378,3985.22299,256.9902,418.93571,248.7384,236.1073,252.9246,348.2378,3985.22299,256.9902,418.93571,248.7384,173.4907,100.7653,1738.63568,3219.801,2022.275,100.7653,2259.49759,2022.275,100.7653,236.1073,256.9902,418.93571,348.2378,248.7384,2259.49759,3074.27463,252.9246,3985.22299,173.4907,2022.275,3074.27463,2022.275,2259.49759,675.40826,453.808,453.808,2259.49759,2259.49759,2022.275,348.2378,252.9246,236.1073,236.1073,348.2378,248.7384,2022.275,3985.22299,3985.22299,3074.27463,256.9902,256.9902,3985.22299,2259.49759,2259.49759,2259.49759,2022.275,337.0469,453.808,2209.03055,2259.49759,3074.27463,453.808,3074.27463,2259.49759,3074.27463,2022.275,453.808,453.808,855.5619,3219.801
9/30/2003,662.31244,449.3805,2236.3563,1984.947,3035.75216,848.9172,2236.3563,848.9172,662.31244,2236.3563,2236.3563,3035.75216,1984.947,848.9172,3035.75216,662.31244,449.3805,333.4387,252.7271,349.4617,3942.28856,250.2984,421.73376,241.7748,225.264,252.7271,349.4617,3942.28856,250.2984,421.73376,241.7748,180.4931,99.10027,1694.62415,3182.868,1984.947,99.10027,2236.3563,1984.947,99.10027,225.264,250.2984,421.73376,349.4617,241.7748,2236.3563,3035.75216,252.7271,3942.28856,180.4931,1984.947,3035.75216,1984.947,2236.3563,662.31244,449.3805,449.3805,2236.3563,2236.3563,1984.947,349.4617,252.7271,225.264,225.264,349.4617,241.7748,1984.947,3942.28856,3942.28856,3035.75216,250.2984,250.2984,3942.28856,2236.3563,2236.3563,2236.3563,1984.947,333.4387,449.3805,2242.69423,2236.3563,3035.75216,449.3805,3035.75216,2236.3563,3035.75216,1984.947,449.3805,449.3805,848.9172,3182.868
