Date,FQAL,FTCS,JQUA,MOAT,PSET,QUAL,SPHQ,XMHQ,XSHQ
31/12/2002,0,0,0,0,0,0,0,0,0
31/01/2003,0,0,0,0,0,0,0,0,0
28/02/2003,0,0,0,0,0,0,0,0,0
31/03/2003,0,0,0,0,0,0,0,0,0
30/04/2003,0,0,0,0,0,0,0,0,0
30/05/2003,0,0,0,0,0,0,0,0,0
30/06/2003,0,0,0,0,0,0,0,0,0
31/07/2003,0,0,0,0,0,0,0,0,0
29/08/2003,0,0,0,0,0,0,0,0,0
30/09/2003,0,0,0,0,0,0,0,0,0
31/10/2003,0,0,0,0,0,0,0,0,0
28/11/2003,0,0,0,0,0,0,0,0,0
31/12/2003,0,0,0,0,0,0,0,0,0
30/01/2004,0,0,0,0,0,0,0,0,0
27/02/2004,0,0,0,0,0,0,0,0,0
31/03/2004,0,0,0,0,0,0,0,0,0
30/04/2004,0,0,0,0,0,0,0,0,0
31/05/2004,0,0,0,0,0,0,0,0,0
30/06/2004,0,0,0,0,0,0,0,0,0
30/07/2004,0,0,0,0,0,0,0,0,0
31/08/2004,0,0,0,0,0,0,0,0,0
30/09/2004,0,0,0,0,0,0,0,0,0
29/10/2004,0,0,0,0,0,0,0,0,0
30/11/2004,0,0,0,0,0,0,0,0,0
31/12/2004,0,0,0,0,0,0,0,0,0
31/01/2005,0,0,0,0,0,0,0,0,0
28/02/2005,0,0,0,0,0,0,0,0,0
31/03/2005,0,0,0,0,0,0,0,0,0
29/04/2005,0,0,0,0,0,0,0,0,0
31/05/2005,0,0,0,0,0,0,0,0,0
30/06/2005,0,0,0,0,0,0,0,0,0
29/07/2005,0,0,0,0,0,0,0,0,0
31/08/2005,0,0,0,0,0,0,0,0,0
30/09/2005,0,0,0,0,0,0,0,0,0
31/10/2005,0,0,0,0,0,0,0,0,0
30/11/2005,0,0,0,0,0,0,0,0,0
30/12/2005,0,0,0,0,0,0,12.51723862,0,0
31/01/2006,0,0,0,0,0,0,13.61495686,0,0
28/02/2006,0,0,0,0,0,0,13.13982201,0,0
31/03/2006,0,0,0,0,0,0,13.67229652,0,0
28/04/2006,0,0,0,0,0,0,14.00816917,0,0
31/05/2006,0,0,0,0,0,0,12.9841795,0,0
30/06/2006,0,0,0,0,0,0,12.90225887,0,0
31/07/2006,0,16.21159744,0,0,0,0,12.14041138,0,0
31/08/2006,0,16.2918129,0,0,0,0,11.84550285,0,0
29/09/2006,0,16.60465813,0,0,0,0,12.1895647,0,0
31/10/2006,0,17.31857109,0,0,0,0,12.77118874,0,0
30/11/2006,0,18.04051208,0,0,0,0,12.68927097,0,0
29/12/2006,0,17.78985786,0,0,0,0,13.09067059,21.79245758,0
31/01/2007,0,18.23278999,0,0,0,0,13.62314701,22.3857975,0
28/02/2007,0,18.08782578,0,0,0,0,13.4838829,22.59770203,0
30/03/2007,0,18.17641068,0,0,0,0,13.72964096,22.87777901,0
30/04/2007,0,19.3280468,0,0,0,0,14.40957069,23.75998116,0
31/05/2007,0,20.35081673,0,0,0,0,14.60617733,24.80335236,0
29/06/2007,0,19.97182083,0,0,0,0,14.40137672,24.45426369,0
31/07/2007,0,19.34139061,0,0,0,0,13.85251999,23.27277184,0
31/08/2007,0,19.41411972,0,0,0,0,13.98359108,23.18778229,0
28/09/2007,0,19.70508957,0,0,0,0,15.04034996,23.69102478,0
31/10/2007,0,20.37594414,0,0,0,0,15.76123333,24.13336945,0
30/11/2007,0,19.68893051,0,0,0,0,14.79459286,23.14659309,0
31/12/2007,0,19.63009071,0,0,0,0,15.2861042,23.01499939,0
31/01/2008,0,18.46055984,0,0,0,0,13.09067059,21.3455162,0
29/02/2008,0,18.44431686,0,0,0,0,12.96779251,20.58743858,0
31/03/2008,0,18.02199364,0,0,0,0,12.81214809,20.20961952,0
30/04/2008,0,18.704216,0,0,0,0,13.71325779,21.76945114,0
30/05/2008,0,19.49201965,0,0,0,0,14.12285042,22.98833275,0
30/06/2008,0,18.15089798,0,0,0,0,13.89347649,21.11583519,0
31/07/2008,0,17.39120674,0,0,0,0,13.4756937,20.74027824,0
29/08/2008,0,17.70162392,0,0,0,0,13.25451279,20.70614433,0
30/09/2008,0,15.61859894,0,0,0,0,11.19833946,17.92412567,0
31/10/2008,0,12.80855846,0,0,0,0,9.199512482,13.92388821,0
28/11/2008,0,11.86098862,0,0,0,0,8.118183136,12.71869183,0
31/12/2008,0,12.31163406,0,0,0,0,8.201114655,13.77370262,0
30/01/2009,0,11.66756344,0,0,0,0,8.020692825,12.86403751,0
27/02/2009,0,10.5610857,0,0,0,0,7.27438879,11.84280968,0
31/03/2009,0,11.46938992,0,0,0,0,7.520420551,12.84687328,0
30/04/2009,0,12.8731308,0,0,0,0,7.889472485,13.98824501,0
29/05/2009,0,14.03740788,0,0,0,0,7.889472485,14.13413715,0
30/06/2009,0,13.87104607,0,0,0,0,7.974263668,14.49754333,0
31/07/2009,0,14.78580666,0,0,0,0,8.476255417,15.47780609,0
31/08/2009,0,15.035285,0,0,0,0,8.435107231,15.79596329,0
30/09/2009,0,15.86688328,0,0,0,0,8.739597321,16.8984108,0
30/10/2009,0,15.70056534,0,0,0,0,8.393961906,16.24416924,0
