Date,FQAL,FTCS,JQUA,MOAT,PSET,QUAL,SPHQ,XMHQ,XSHQ
31/12/2002,0,0,0,0,0,0,0,0,0
31/01/2003,0,0,0,0,0,0,0,0,0
28/02/2003,0,0,0,0,0,0,0,0,0
31/03/2003,0,0,0,0,0,0,0,0,0
30/04/2003,0,0,0,0,0,0,0,0,0
30/05/2003,0,0,0,0,0,0,0,0,0
30/06/2003,0,0,0,0,0,0,0,0,0
31/07/2003,0,0,0,0,0,0,0,0,0
29/08/2003,0,0,0,0,0,0,0,0,0
30/09/2003,0,0,0,0,0,0,0,0,0
31/10/2003,0,0,0,0,0,0,0,0,0
28/11/2003,0,0,0,0,0,0,0,0,0
31/12/2003,0,0,0,0,0,0,0,0,0
30/01/2004,0,0,0,0,0,0,0,0,0
27/02/2004,0,0,0,0,0,0,0,0,0
31/03/2004,0,0,0,0,0,0,0,0,0
30/04/2004,0,0,0,0,0,0,0,0,0
31/05/2004,0,0,0,0,0,0,0,0,0
30/06/2004,0,0,0,0,0,0,0,0,0
30/07/2004,0,0,0,0,0,0,0,0,0
31/08/2004,0,0,0,0,0,0,0,0,0
30/09/2004,0,0,0,0,0,0,0,0,0
29/10/2004,0,0,0,0,0,0,0,0,0
30/11/2004,0,0,0,0,0,0,0,0,0
31/12/2004,0,0,0,0,0,0,0,0,0
31/01/2005,0,0,0,0,0,0,0,0,0
28/02/2005,0,0,0,0,0,0,0,0,0
31/03/2005,0,0,0,0,0,0,0,0,0
29/04/2005,0,0,0,0,0,0,0,0,0
31/05/2005,0,0,0,0,0,0,0,0,0
30/06/2005,0,0,0,0,0,0,0,0,0
29/07/2005,0,0,0,0,0,0,0,0,0
31/08/2005,0,0,0,0,0,0,0,0,0
30/09/2005,0,0,0,0,0,0,0,0,0
31/10/2005,0,0,0,0,0,0,0,0,0
30/11/2005,0,0,0,0,0,0,0,0,0
30/12/2005,0,0,0,0,0,0,47323701,0,0
31/01/2006,0,0,0,0,0,0,92951652,0,0
28/02/2006,0,0,0,0,0,0,126522077,0,0
31/03/2006,0,0,0,0,0,0,146738689,0,0
28/04/2006,0,0,0,0,0,0,182809538,0,0
31/05/2006,0,0,0,0,0,0,188276613,0,0
30/06/2006,0,0,0,0,0,0,197246508,0,0
31/07/2006,0,12118691,0,0,0,0,185354159,0,0
31/08/2006,0,12165452,0,0,0,0,182096202,0,0
29/09/2006,0,17597809,0,0,0,0,195103241,0,0
31/10/2006,0,17305250,0,0,0,0,190287154,0,0
30/11/2006,0,17941242,0,0,0,0,171840348,0,0
29/12/2006,0,17646743,0,0,0,0,178956253,15345989,0
31/01/2007,0,21473549,0,0,0,0,201190386,15720721,0
28/02/2007,0,20170627,0,0,0,0,228635047,13300043,0
30/03/2007,0,21573749,0,0,0,0,246755359,10772598,0
30/04/2007,0,31140927,0,0,0,0,272607579,11190418,0
31/05/2007,0,35340891,0,0,0,0,233412668,11694304,0
29/06/2007,0,39525090,0,0,0,0,228494712,14371089,0
31/07/2007,0,37134862,0,0,0,0,202919998,13690000,0
31/08/2007,0,46641220,0,0,0,0,194598570,16356618,0
28/09/2007,0,47600668,0,0,0,0,220564367,16776364,0
31/10/2007,0,50931900,0,0,0,0,212224312,17051810,0
30/11/2007,0,50010089,0,0,0,0,198275006,16343894,0
31/12/2007,0,61516589,0,0,0,0,217599498,18930184,0
31/01/2008,0,67017384,0,0,0,0,186966000,22523002,0
29/02/2008,0,69517265,0,0,0,0,183628000,21736507,0
31/03/2008,0,72059488,0,0,0,0,173721359,21318682,0
30/04/2008,0,74799518,0,0,0,0,177668586,25468700,0
30/05/2008,0,77762230,0,0,0,0,181301952,26881400,0
30/06/2008,0,71825243,0,0,0,0,174866242,24656591,0
31/07/2008,0,58582974,0,0,0,0,170880303,21830595,0
29/08/2008,0,59694410,0,0,0,0,169674877,21789291,0
30/09/2008,0,53329245,0,0,0,0,131539898,16716204,0
31/10/2008,0,40204076,0,0,0,0,101564937,16249269,0
28/11/2008,0,34873364,0,0,0,0,88436730,15000873,0
31/12/2008,0,35761844,0,0,0,0,85522713,17573494,0
30/01/2009,0,31880979,0,0,0,0,81401849,16533369,0
27/02/2009,0,28632999,0,0,0,0,71847985,14968804,0
31/03/2009,0,34085289,0,0,0,0,71235387,16320427,0
30/04/2009,0,35880007,0,0,0,0,71048247,17928593,0
29/05/2009,0,39152037,0,0,0,0,68495910,18320520,0
30/06/2009,0,38353023,0,0,0,0,67969378,18538725,0
31/07/2009,0,40628458,0,0,0,0,71172940,19692840,0
31/08/2009,0,42691942,0,0,0,0,70824835,20246698,0
30/09/2009,0,44922111,0,0,0,0,70782760,22560954,0
30/10/2009,0,40502107,0,0,0,0,67931351,21707633,0
30/11/2009,0,44491240,0,0,0,0,69682624,22806453,0
31/12/2009,0,51161004,0,0,0,0,70573308,23675607,0
29/01/2010,0,51045957,0,0,0,0,64145598,22705385,0
26/02/2010,0,52042426,0,0,0,0,63515252,23808199,0
31/03/2010,0,49618353,0,0,0,0,68313371,25468449,0
30/04/2010,0,45445494,0,0,0,0,67745535,25352825,0
31/05/2010,0,36552342,0,0,0,0,64931386,21693035,0
