Date,FQAL,FTCS,JQUA,MOAT,PSET,QUAL,SPHQ,XMHQ,XSHQ
31/12/2002,1932.85317,1932.85317,1932.85317,1932.85317,1932.85317,1932.85317,1932.85317,2470.26703,1285.51143
31/01/2003,1886.00527,1886.00527,1886.00527,1886.00527,1886.00527,1886.00527,1886.00527,2420.30869,1250.58854
28/02/2003,1856.8277,1856.8277,1856.8277,1856.8277,1856.8277,1856.8277,1856.8277,2388.25238,1217.23949
31/03/2003,1876.04872,1876.04872,1876.04872,1876.04872,1876.04872,1876.04872,1876.04872,2411.8296,1235.66702
30/04/2003,2027.50335,2027.50335,2027.50335,2027.50335,2027.50335,2027.50335,2027.50335,2587.01272,1352.61037
30/05/2003,2143.10254,2143.10254,2143.10254,2143.10254,2143.10254,2143.10254,2143.10254,2823.77532,1505.03695
30/06/2003,2171.28754,2171.28754,2171.28754,2171.28754,2171.28754,2171.28754,2171.28754,2852.31332,1534.0417
31/07/2003,2214.55363,2214.55363,2214.55363,2214.55363,2214.55363,2214.55363,2214.55363,2946.31663,1650.01016
29/08/2003,2259.49759,2259.49759,2259.49759,2259.49759,2259.49759,2259.49759,2259.49759,3074.27463,1738.63568
30/09/2003,2236.3563,2236.3563,2236.3563,2236.3563,2236.3563,2236.3563,2236.3563,3035.75216,1694.62415
31/10/2003,2367.48263,2367.48263,2367.48263,2367.48263,2367.48263,2367.48263,2367.48263,3267.46366,1841.02052
28/11/2003,2395.86914,2395.86914,2395.86914,2395.86914,2395.86914,2395.86914,2395.86914,3359.17178,1901.04365
31/12/2003,2510.59813,2510.59813,2510.59813,2510.59813,2510.59813,2510.59813,2510.59813,3459.83636,1909.54265
30/01/2004,2558.31933,2558.31933,2558.31933,2558.31933,2558.31933,2558.31933,2558.31933,3560.35144,2009.85793
27/02/2004,2593.75083,2593.75083,2593.75083,2593.75083,2593.75083,2593.75083,2593.75083,3637.02265,2006.74805
31/03/2004,2558.36614,2558.36614,2558.36614,2558.36614,2558.36614,2558.36614,2558.36614,3637.78423,2016.12814
30/04/2004,2512.1185,2512.1185,2512.1185,2512.1185,2512.1185,2512.1185,2512.1185,3504.20908,1914.92259
31/05/2004,2548.35347,2548.35347,2548.35347,2548.35347,2548.35347,2548.35347,2548.35347,3591.16161,1953.01354
30/06/2004,2594.29402,2594.29402,2594.29402,2594.29402,2594.29402,2594.29402,2594.29402,3690.49604,2017.99828
30/07/2004,2503.18533,2503.18533,2503.18533,2503.18533,2503.18533,2503.18533,2503.18533,3529.13841,1836.86297
31/08/2004,2515.53498,2515.53498,2515.53498,2515.53498,2515.53498,2515.53498,2515.53498,3544.41757,1797.31799
30/09/2004,2547.28557,2547.28557,2547.28557,2547.28557,2547.28557,2547.28557,2547.28557,3659.48323,1896.70039
29/10/2004,2588.37345,2588.37345,2588.37345,2588.37345,2588.37345,2588.37345,2588.37345,3760.39779,1942.78691
30/11/2004,2699.19076,2699.19076,2699.19076,2699.19076,2699.19076,2699.19076,2699.19076,3989.52059,2107.0028
31/12/2004,2796.92189,2796.92189,2796.92189,2796.92189,2796.92189,2796.92189,2796.92189,4159.33917,2182.72976
31/01/2005,2726.44768,2726.44768,2726.44768,2726.44768,2726.44768,2726.44768,2726.44768,4056.39412,2084.39869
28/02/2005,2787.7598,2787.7598,2787.7598,2787.7598,2787.7598,2787.7598,2787.7598,4181.66843,2113.00694
31/03/2005,2743.62968,2743.62968,2743.62968,2743.62968,2743.62968,2743.62968,2743.62968,4148.80476,2033.75039
29/04/2005,2693.03409,2693.03409,2693.03409,2693.03409,2693.03409,2693.03409,2693.03409,4016.6044,1904.31505
31/05/2005,2788.49539,2788.49539,2788.49539,2788.49539,2788.49539,2788.49539,2788.49539,4209.05026,2038.5819
30/06/2005,2799.88665,2799.88665,2799.88665,2799.88665,2799.88665,2799.88665,2799.88665,4322.21757,2104.49445
29/07/2005,2908.78083,2908.78083,2908.78083,2908.78083,2908.78083,2908.78083,2908.78083,4550.08167,2251.59684
31/08/2005,2883.60694,2883.60694,2883.60694,2883.60694,2883.60694,2883.60694,2883.60694,4518.21602,2219.86933
30/09/2005,2910.4037,2910.4037,2910.4037,2910.4037,2910.4037,2910.4037,2910.4037,4578.15253,2237.46015
31/10/2005,2859.35505,2859.35505,2859.35505,2859.35505,2859.35505,2859.35505,2859.35505,4440.61516,2154.77437
