Date,FQAL,FTCS,JQUA,MOAT,PSET,QUAL,SPHQ,XMHQ,XSHQ
31/12/2002,1932.85317,1932.85317,1932.85317,1932.85317,1932.85317,1932.85317,1932.85317,2470.26703,1285.51143
02/01/2003,1996.03206,1996.03206,1996.03206,1996.03206,1996.03206,1996.03206,1996.03206,2543.26248,1319.10132
03/01/2003,1995.11713,1995.11713,1995.11713,1995.11713,1995.11713,1995.11713,1995.11713,2537.58036,1312.3252
06/01/2003,2040.40885,2040.40885,2040.40885,2040.40885,2040.40885,2040.40885,2040.40885,2586.31465,1335.93952
07/01/2003,2026.39785,2026.39785,2026.39785,2026.39785,2026.39785,2026.39785,2026.39785,2566.24789,1327.38467
08/01/2003,1998.60075,1998.60075,1998.60075,1998.60075,1998.60075,1998.60075,1998.60075,2534.31984,1311.09186
09/01/2003,2036.1036,2036.1036,2036.1036,2036.1036,2036.1036,2036.1036,2036.1036,2577.70974,1337.57105
10/01/2003,2036.49597,2036.49597,2036.49597,2036.49597,2036.49597,2036.49597,2036.49597,2581.48891,1340.64254
13/01/2003,2033.87748,2033.87748,2033.87748,2033.87748,2033.87748,2033.87748,2033.87748,2570.68578,1339.52157
14/01/2003,2045.46611,2045.46611,2045.46611,2045.46611,2045.46611,2045.46611,2045.46611,2578.34916,1346.54252
15/01/2003,2017.14252,2017.14252,2017.14252,2017.14252,2017.14252,2017.14252,2017.14252,2554.5337,1335.96346
16/01/2003,2009.28612,2009.28612,2009.28612,2009.28612,2009.28612,2009.28612,2009.28612,2547.87979,1332.41602
17/01/2003,1981.74655,1981.74655,1981.74655,1981.74655,1981.74655,1981.74655,1981.74655,2513.11212,1306.78426
21/01/2003,1951.4046,1951.4046,1951.4046,1951.4046,1951.4046,1951.4046,1951.4046,2474.5071,1289.04969
22/01/2003,1932.4084,1932.4084,1932.4084,1932.4084,1932.4084,1932.4084,1932.4084,2456.35105,1282.07881
23/01/2003,1951.49771,1951.49771,1951.49771,1951.49771,1951.49771,1951.49771,1951.49771,2485.03538,1293.34739
24/01/2003,1896.26312,1896.26312,1896.26312,1896.26312,1896.26312,1896.26312,1896.26312,2428.8351,1262.13435
27/01/2003,1865.25499,1865.25499,1865.25499,1865.25499,1865.25499,1865.25499,1865.25499,2385.62774,1238.02606
28/01/2003,1889.26673,1889.26673,1889.26673,1889.26673,1889.26673,1889.26673,1889.26673,2416.04524,1254.82631
29/01/2003,1902.19615,1902.19615,1902.19615,1902.19615,1902.19615,1902.19615,1902.19615,2431.65749,1263.23607
30/01/2003,1860.81431,1860.81431,1860.81431,1860.81431,1860.81431,1860.81431,1860.81431,2391.85281,1237.26849
31/01/2003,1886.00527,1886.00527,1886.00527,1886.00527,1886.00527,1886.00527,1886.00527,2420.30869,1250.58854
03/02/2003,1894.63922,1894.63922,1894.63922,1894.63922,1894.63922,1894.63922,1894.63922,2423.70985,1242.55563
04/02/2003,1868.89825,1868.89825,1868.89825,1868.89825,1868.89825,1868.89825,1868.89825,2396.56682,1236.39669
05/02/2003,1859.37242,1859.37242,1859.37242,1859.37242,1859.37242,1859.37242,1859.37242,2388.82858,1230.77778
06/02/2003,1847.92185,1847.92185,1847.92185,1847.92185,1847.92185,1847.92185,1847.92185,2373.01229,1222.6693
07/02/2003,1829.40534,1829.40534,1829.40534,1829.40534,1829.40534,1829.40534,1829.40534,2349.65898,1204.52477
10/02/2003,1842.87633,1842.87633,1842.87633,1842.87633,1842.87633,1842.87633,1842.87633,2367.60817,1214.1949
11/02/2003,1828.45979,1828.45979,1828.45979,1828.45979,1828.45979,1828.45979,1828.45979,2355.08709,1209.73311
12/02/2003,1805.05658,1805.05658,1805.05658,1805.05658,1805.05658,1805.05658,1805.05658,2320.57261,1193.27337
13/02/2003,1801.37298,1801.37298,1801.37298,1801.37298,1801.37298,1801.37298,1801.37298,2309.04867,1190.41943
14/02/2003,1837.20316,1837.20316,1837.20316,1837.20316,1837.20316,1837.20316,1837.20316,2342.40649,1207.77817
18/02/2003,1874.00096,1874.00096,1874.00096,1874.00096,1874.00096,1874.00096,1874.00096,2390.88198,1228.83068
19/02/2003,1861.43589,1861.43589,1861.43589,1861.43589,1861.43589,1861.43589,1861.43589,2373.04837,1214.40498
20/02/2003,1845.01151,1845.01151,1845.01151,1845.01151,1845.01151,1845.01151,1845.01151,2365.06574,1214.11338
21/02/2003,1869.51732,1869.51732,1869.51732,1869.51732,1869.51732,1869.51732,1869.51732,2398.03834,1229.40156
24/02/2003,1836.04189,1836.04189,1836.04189,1836.04189,1836.04189,1836.04189,1836.04189,2358.33863,1208.89096
25/02/2003,1849.31044,1849.31044,1849.31044,1849.31044,1849.31044,1849.31044,1849.31044,2373.06217,1217.24109
