Date,RF
31/12/2002,0.000048
02/01/2003,0.000048
03/01/2003,0.000048
06/01/2003,0.000048
07/01/2003,0.000048
08/01/2003,0.000048
09/01/2003,0.000048
10/01/2003,0.000048
13/01/2003,0.000048
14/01/2003,0.000048
15/01/2003,0.000048
16/01/2003,0.000048
17/01/2003,0.000048
21/01/2003,0.000048
22/01/2003,0.000048
23/01/2003,0.000048
24/01/2003,0.000048
27/01/2003,0.000048
28/01/2003,0.000048
29/01/2003,0.000048
30/01/2003,0.000048
31/01/2003,0.000048
03/02/2003,0.0000464
04/02/2003,0.0000464
05/02/2003,0.0000464
06/02/2003,0.0000464
07/02/2003,0.0000464
10/02/2003,0.0000464
11/02/2003,0.0000464
12/02/2003,0.0000464
13/02/2003,0.0000464
14/02/2003,0.0000464
18/02/2003,0.0000464
19/02/2003,0.0000464
20/02/2003,0.0000464
21/02/2003,0.0000464
24/02/2003,0.0000464
25/02/2003,0.0000464
26/02/2003,0.0000464
27/02/2003,0.0000464
28/02/2003,0.0000464
03/03/2003,0.0000472
04/03/2003,0.0000472
05/03/2003,0.0000472
06/03/2003,0.0000472
07/03/2003,0.0000472
10/03/2003,0.0000472
11/03/2003,0.0000472
12/03/2003,0.0000472
13/03/2003,0.0000472
14/03/2003,0.0000472
17/03/2003,0.0000472
18/03/2003,0.0000472
19/03/2003,0.0000472
20/03/2003,0.0000472
21/03/2003,0.0000472
24/03/2003,0.0000472
25/03/2003,0.0000472
26/03/2003,0.0000472
27/03/2003,0.0000472
28/03/2003,0.0000472
31/03/2003,0.0000472
01/04/2003,0.0000448
02/04/2003,0.0000448
03/04/2003,0.0000448
04/04/2003,0.0000448
07/04/2003,0.0000448
08/04/2003,0.0000448
09/04/2003,0.0000448
10/04/2003,0.0000448
11/04/2003,0.0000448
14/04/2003,0.0000448
15/04/2003,0.0000448
16/04/2003,0.0000448
17/04/2003,0.0000448
21/04/2003,0.0000448
22/04/2003,0.0000448
23/04/2003,0.0000448
24/04/2003,0.0000448
25/04/2003,0.0000448
28/04/2003,0.0000448
29/04/2003,0.0000448
30/04/2003,0.0000448
01/05/2003,0.0000444
02/05/2003,0.0000444
05/05/2003,0.0000444
06/05/2003,0.0000444
07/05/2003,0.0000444
08/05/2003,0.0000444
09/05/2003,0.0000444
12/05/2003,0.0000444
13/05/2003,0.0000444
14/05/2003,0.0000444
15/05/2003,0.0000444
16/05/2003,0.0000444
19/05/2003,0.0000444
20/05/2003,0.0000444
21/05/2003,0.0000444
22/05/2003,0.0000444
23/05/2003,0.0000444
27/05/2003,0.0000444
28/05/2003,0.0000444
29/05/2003,0.0000444
30/05/2003,0.0000444
02/06/2003,0.0000436
03/06/2003,0.0000436
04/06/2003,0.0000436
05/06/2003,0.0000436
06/06/2003,0.0000436
09/06/2003,0.0000436
10/06/2003,0.0000436
11/06/2003,0.0000436
12/06/2003,0.0000436
13/06/2003,0.0000436
16/06/2003,0.0000436
17/06/2003,0.0000436
18/06/2003,0.0000436
19/06/2003,0.0000436
20/06/2003,0.0000436
23/06/2003,0.0000436
24/06/2003,0.0000436
25/06/2003,0.0000436
26/06/2003,0.0000436
27/06/2003,0.0000436
30/06/2003,0.0000436
01/07/2003,0.0000356
02/07/2003,0.0000356
03/07/2003,0.0000356
07/07/2003,0.0000356
08/07/2003,0.0000356
09/07/2003,0.0000356
10/07/2003,0.0000356
11/07/2003,0.0000356
14/07/2003,0.0000356
15/07/2003,0.0000356
16/07/2003,0.0000356
17/07/2003,0.0000356
18/07/2003,0.0000356
21/07/2003,0.0000356
22/07/2003,0.0000356
23/07/2003,0.0000356
24/07/2003,0.0000356
25/07/2003,0.0000356
28/07/2003,0.0000356
29/07/2003,0.0000356
30/07/2003,0.0000356
31/07/2003,0.0000356
01/08/2003,0.0000376
04/08/2003,0.0000376
05/08/2003,0.0000376
06/08/2003,0.0000376
07/08/2003,0.0000376
08/08/2003,0.0000376
11/08/2003,0.0000376
12/08/2003,0.0000376
13/08/2003,0.0000376
14/08/2003,0.0000376
15/08/2003,0.0000376
18/08/2003,0.0000376
19/08/2003,0.0000376
20/08/2003,0.0000376
21/08/2003,0.0000376
22/08/2003,0.0000376
25/08/2003,0.0000376
26/08/2003,0.0000376
27/08/2003,0.0000376
28/08/2003,0.0000376
29/08/2003,0.0000376
02/09/2003,0.0000384
03/09/2003,0.0000384
04/09/2003,0.0000384
05/09/2003,0.0000384
08/09/2003,0.0000384
09/09/2003,0.0000384
10/09/2003,0.0000384
11/09/2003,0.0000384
12/09/2003,0.0000384
