Date,DSTL,FVAL,ILCV,JVAL,NULV,NUMV,PWV,PY,RFV,RPV,RZV,SPVU,VLU,VLUE
31/12/2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/01/2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28/02/2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/03/2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30/04/2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30/05/2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30/06/2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/07/2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/08/2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30/09/2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/10/2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28/11/2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/12/2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30/01/2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27/02/2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/03/2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30/04/2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/05/2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30/06/2004,0,0,24172014,0,0,0,0,0,0,0,0,0,0,0
30/07/2004,0,0,24039746,0,0,0,0,0,0,0,0,0,0,0
31/08/2004,0,0,24540121,0,0,0,0,0,0,0,0,0,0,0
30/09/2004,0,0,24383510,0,0,0,0,0,0,0,0,0,0,0
29/10/2004,0,0,24726409,0,0,0,0,0,0,0,0,0,0,0
30/11/2004,0,0,32089018,0,0,0,0,0,0,0,0,0,0,0
31/12/2004,0,0,36210773,0,0,0,0,0,0,0,0,0,0,0
31/01/2005,0,0,38859071,0,0,0,0,0,0,0,0,0,0,0
28/02/2005,0,0,47415758,0,0,0,0,0,0,0,0,0,0,0
31/03/2005,0,0,49287875,0,0,0,10343263,0,0,0,0,0,0,0
29/04/2005,0,0,55323121,0,0,0,10165765,0,0,0,0,0,0,0
