Date,DSTL,FVAL,ILCV,JVAL,NULV,NUMV,PWV,PY,RFV,RPV,RZV,SPVU,VLU,VLUE
31/12/2002,1932.85317,394.6339,394.6339,394.6339,394.6339,708.4285,394.6339,708.4285,2536.385,394.6339,2536.385,394.6339,394.6339,394.6339
31/01/2003,1886.00527,385.0804,385.0804,385.0804,385.0804,688.8071,385.0804,688.8071,2464.972,385.0804,2464.972,385.0804,385.0804,385.0804
28/02/2003,1856.8277,374.8144,374.8144,374.8144,374.8144,677.3887,374.8144,677.3887,2382.106,374.8144,2382.106,374.8144,374.8144,374.8144
31/03/2003,1876.04872,375.4366,375.4366,375.4366,375.4366,679.7007,375.4366,679.7007,2407.548,375.4366,2407.548,375.4366,375.4366,375.4366
30/04/2003,2027.50335,408.4839,408.4839,408.4839,408.4839,731.3881,408.4839,731.3881,2636.228,408.4839,2636.228,408.4839,408.4839,408.4839
30/05/2003,2143.10254,434.8518,434.8518,434.8518,434.8518,795.7623,434.8518,795.7623,2905.399,434.8518,2905.399,434.8518,434.8518,434.8518
30/06/2003,2171.28754,440.2891,440.2891,440.2891,440.2891,801.3203,440.2891,801.3203,2954.628,440.2891,2954.628,440.2891,440.2891,440.2891
31/07/2003,2214.55363,446.8451,446.8451,446.8451,446.8451,826.2242,446.8451,826.2242,3101.971,446.8451,3101.971,446.8451,446.8451,446.8451
29/08/2003,2259.49759,453.808,453.808,453.808,453.808,855.5619,453.808,855.5619,3219.801,453.808,3219.801,453.808,453.808,453.808
30/09/2003,2236.3563,449.3805,449.3805,449.3805,449.3805,848.9172,449.3805,848.9172,3182.868,449.3805,3182.868,449.3805,449.3805,449.3805
31/10/2003,2367.48263,476.8818,476.8818,476.8818,476.8818,911.2281,476.8818,911.2281,3442.404,476.8818,3442.404,476.8818,476.8818,476.8818
28/11/2003,2395.86914,483.3513,483.3513,483.3513,483.3513,937.6322,483.3513,937.6322,3574.545,483.3513,3574.545,483.3513,483.3513,483.3513
31/12/2003,2510.59813,513.1447,513.1447,513.1447,513.1447,978.10798,513.1447,978.10798,3703.818,513.1447,3703.818,513.1447,513.1447,513.1447
30/01/2004,2558.31933,522.1683,522.1683,522.1683,522.1683,1003.91685,522.1683,1003.91685,3831.882,522.1683,3831.882,522.1683,522.1683,522.1683
27/02/2004,2593.75083,533.3594,533.3594,533.3594,533.3594,1028.74316,533.3594,1028.74316,3906.083,533.3594,3906.083,533.3594,533.3594,533.3594
31/03/2004,2558.36614,528.6907,528.6907,528.6907,528.6907,1030.40154,528.6907,1030.40154,3960.099,528.6907,3960.099,528.6907,528.6907,528.6907
30/04/2004,2512.1185,515.7697,515.7697,515.7697,515.7697,986.81893,515.7697,986.81893,3755.304,515.7697,3755.304,515.7697,515.7697,515.7697
31/05/2004,2548.35347,521.0298,521.0298,521.0298,521.0298,1012.10782,521.0298,1012.10782,3800.63454,521.0298,3800.63454,521.0298,521.0298,521.0298
30/06/2004,2594.29402,533.3406,533.3406,533.3406,533.3406,1048.23244,533.3406,1048.23244,3993.665,533.3406,3993.665,533.3406,533.3406,533.3406
30/07/2004,2503.18533,525.8284,525.8284,525.8284,525.8284,1019.8323,525.8284,1019.8323,3810.074,525.8284,3810.074,525.8284,525.8284,525.8284
31/08/2004,2515.53498,533.3062,533.3062,533.3062,533.3062,1036.25495,533.3062,1036.25495,3847.448,533.3062,3847.448,533.3062,533.3062,533.3062
30/09/2004,2547.28557,541.5729,541.5729,541.5729,541.5729,1066.41892,541.5729,1066.41892,3999.636,541.5729,3999.636,541.5729,541.5729,541.5729
29/10/2004,2588.37345,550.5756,550.5756,550.5756,550.5756,1091.09669,550.5756,1091.09669,4061.77,550.5756,4061.77,550.5756,550.5756,550.5756
