Date,DSTL,FVAL,ILCV,JVAL,NULV,NUMV,PWV,PY,RFV,RPV,RZV,SPVU,VLU,VLUE
31/12/2002,1932.85317,394.6339,394.6339,394.6339,394.6339,708.4285,394.6339,708.4285,2536.385,394.6339,2536.385,394.6339,394.6339,394.6339
02/01/2003,1996.03206,406.9049,406.9049,406.9049,406.9049,727.5383,406.9049,727.5383,2595.868,406.9049,2595.868,406.9049,406.9049,406.9049
03/01/2003,1995.11713,406.8448,406.8448,406.8448,406.8448,725.9263,406.8448,725.9263,2579.398,406.8448,2579.398,406.8448,406.8448,406.8448
06/01/2003,2040.40885,418.5167,418.5167,418.5167,418.5167,740.8474,418.5167,740.8474,2621.436,418.5167,2621.436,418.5167,418.5167,418.5167
07/01/2003,2026.39785,414.3572,414.3572,414.3572,414.3572,733.0684,414.3572,733.0684,2598.193,414.3572,2598.193,414.3572,414.3572,414.3572
08/01/2003,1998.60075,408.6082,408.6082,408.6082,408.6082,726.0488,408.6082,726.0488,2566.179,408.6082,2566.179,408.6082,408.6082,408.6082
09/01/2003,2036.1036,415.6825,415.6825,415.6825,415.6825,736.3666,415.6825,736.3666,2605.344,415.6825,2605.344,415.6825,415.6825,415.6825
10/01/2003,2036.49597,415.3453,415.3453,415.3453,415.3453,736.144,415.3453,736.144,2606.251,415.3453,2606.251,415.3453,415.3453,415.3453
13/01/2003,2033.87748,414.6969,414.6969,414.6969,414.6969,733.426,414.6969,733.426,2605.484,414.6969,2605.484,414.6969,414.6969,414.6969
14/01/2003,2045.46611,417.4384,417.4384,417.4384,417.4384,735.7691,417.4384,735.7691,2621.658,417.4384,2621.658,417.4384,417.4384,417.4384
15/01/2003,2017.14252,412.1844,412.1844,412.1844,412.1844,729.625,412.1844,729.625,2604.308,412.1844,2604.308,412.1844,412.1844,412.1844
16/01/2003,2009.28612,410.4906,410.4906,410.4906,410.4906,727.2023,410.4906,727.2023,2602.709,410.4906,2602.709,410.4906,410.4906,410.4906
17/01/2003,1981.74655,406.2073,406.2073,406.2073,406.2073,719.7404,406.2073,719.7404,2563.205,406.2073,2563.205,406.2073,406.2073,406.2073
21/01/2003,1951.4046,399.1774,399.1774,399.1774,399.1774,708.714,399.1774,708.714,2533.037,399.1774,2533.037,399.1774,399.1774,399.1774
22/01/2003,1932.4084,394.5113,394.5113,394.5113,394.5113,701.1073,394.5113,701.1073,2512.113,394.5113,2512.113,394.5113,394.5113,394.5113
23/01/2003,1951.49771,397.1654,397.1654,397.1654,397.1654,707.9554,397.1654,707.9554,2531.81,397.1654,2531.81,397.1654,397.1654,397.1654
24/01/2003,1896.26312,386.2464,386.2464,386.2464,386.2464,692.3804,386.2464,692.3804,2479.089,386.2464,2479.089,386.2464,386.2464,386.2464
27/01/2003,1865.25499,379.6417,379.6417,379.6417,379.6417,679.3969,379.6417,679.3969,2440.52,379.6417,2440.52,379.6417,379.6417,379.6417
28/01/2003,1889.26673,384.2145,384.2145,384.2145,384.2145,687.0171,384.2145,687.0171,2468.505,384.2145,2468.505,384.2145,384.2145,384.2145
29/01/2003,1902.19615,387.0261,387.0261,387.0261,387.0261,690.4156,387.0261,690.4156,2475.187,387.0261,2475.187,387.0261,387.0261,387.0261
30/01/2003,1860.81431,379.122,379.122,379.122,379.122,679.8839,379.122,679.8839,2430.969,379.122,2430.969,379.122,379.122,379.122
31/01/2003,1886.00527,385.0804,385.0804,385.0804,385.0804,688.8071,385.0804,688.8071,2464.972,385.0804,2464.972,385.0804,385.0804,385.0804
03/02/2003,1894.63922,387.2056,387.2056,387.2056,387.2056,690.8025,387.2056,690.8025,2455.3,387.2056,2455.3,387.2056,387.2056,387.2056
04/02/2003,1868.89825,382.281,382.281,382.281,382.281,683.7867,382.281,683.7867,2447.196,382.281,2447.196,382.281,382.281,382.281
05/02/2003,1859.37242,380.009,380.009,380.009,380.009,681.0094,380.009,681.0094,2435.769,380.009,2435.769,380.009,380.009,380.009
06/02/2003,1847.92185,376.9282,376.9282,376.9282,376.9282,676.625,376.9282,676.625,2422.299,376.9282,2422.299,376.9282,376.9282,376.9282
07/02/2003,1829.40534,373.2549,373.2549,373.2549,373.2549,669.9742,373.2549,669.9742,2379.426,373.2549,2379.426,373.2549,373.2549,373.2549
10/02/2003,1842.87633,375.7027,375.7027,375.7027,375.7027,675.2626,375.7027,675.2626,2404.143,375.7027,2404.143,375.7027,375.7027,375.7027
11/02/2003,1828.45979,371.9626,371.9626,371.9626,371.9626,669.9811,371.9626,669.9811,2384.984,371.9626,2384.984,371.9626,371.9626,371.9626
12/02/2003,1805.05658,366.7244,366.7244,366.7244,366.7244,660.6058,366.7244,660.6058,2358.085,366.7244,2358.085,366.7244,366.7244,366.7244
13/02/2003,1801.37298,366.8491,366.8491,366.8491,366.8491,659.7874,366.8491,659.7874,2355.808,366.8491,2355.808,366.8491,366.8491,366.8491
14/02/2003,1837.20316,373.3398,373.3398,373.3398,373.3398,667.5934,373.3398,667.5934,2371.515,373.3398,2371.515,373.3398,373.3398,373.3398
18/02/2003,1874.00096,379.9047,379.9047,379.9047,379.9047,679.9412,379.9047,679.9412,2410.032,379.9047,2410.032,379.9047,379.9047,379.9047
19/02/2003,1861.43589,376.9891,376.9891,376.9891,376.9891,674.9964,376.9891,674.9964,2382.407,376.9891,2382.407,376.9891,376.9891,376.9891
20/02/2003,1845.01151,373.2624,373.2624,373.2624,373.2624,672.4044,373.2624,672.4044,2376.059,373.2624,2376.059,373.2624,373.2624,373.2624
21/02/2003,1869.51732,378.0709,378.0709,378.0709,378.0709,681.7689,378.0709,681.7689,2407.301,378.0709,2407.301,378.0709,378.0709,378.0709
24/02/2003,1836.04189,371.3643,371.3643,371.3643,371.3643,670.7266,371.3643,670.7266,2366.424,371.3643,2366.424,371.3643,371.3643,371.3643
25/02/2003,1849.31044,374.0081,374.0081,374.0081,374.0081,674.8188,374.0081,674.8188,2389.263,374.0081,2389.263,374.0081,374.0081,374.0081
26/02/2003,1826.24193,369.3524,369.3524,369.3524,369.3524,668.1323,369.3524,668.1323,2367.841,369.3524,2367.841,369.3524,369.3524,369.3524
27/02/2003,1847.96494,373.531,373.531,373.531,373.531,674.6788,373.531,674.6788,2389.986,373.531,2389.986,373.531,373.531,373.531
28/02/2003,1856.8277,374.8144,374.8144,374.8144,374.8144,677.3887,374.8144,677.3887,2382.106,374.8144,2382.106,374.8144,374.8144,374.8144
03/03/2003,1843.58174,373.5379,373.5379,373.5379,373.5379,674.9088,373.5379,674.9088,2377.244,373.5379,2377.244,373.5379,373.5379,373.5379
04/03/2003,1815.93332,367.8498,367.8498,367.8498,367.8498,664.3747,367.8498,664.3747,2360.919,367.8498,2360.919,367.8498,367.8498,367.8498
05/03/2003,1832.7414,371.2633,371.2633,371.2633,371.2633,667.4385,371.2633,667.4385,2363.256,371.2633,2363.256,371.2633,371.2633,371.2633
06/03/2003,1816.58598,366.905,366.905,366.905,366.905,663.7961,366.905,663.7961,2343.332,366.905,2343.332,366.905,366.905,366.905
07/03/2003,1830.96926,369.7412,369.7412,369.7412,369.7412,667.9658,369.7412,667.9658,2345.629,369.7412,2345.629,369.7412,369.7412,369.7412
10/03/2003,1785.09804,360.0899,360.0899,360.0899,360.0899,653.3589,360.0899,653.3589,2308.086,360.0899,2308.086,360.0899,360.0899,360.0899
11/03/2003,1770.14292,356.274,356.274,356.274,356.274,645.5024,356.274,645.5024,2302.804,356.274,2302.804,356.274,356.274,356.274
12/03/2003,1776.66376,356.038,356.038,356.038,356.038,643.9662,356.038,643.9662,2295.093,356.038,2295.093,356.038,356.038,356.038
13/03/2003,1837.24542,367.2644,367.2644,367.2644,367.2644,661.8227,367.2644,661.8227,2350.983,367.2644,2350.983,367.2644,367.2644,367.2644
14/03/2003,1840.05495,368.5258,368.5258,368.5258,368.5258,661.1185,368.5258,661.1185,2343.032,368.5258,2343.032,368.5258,368.5258,368.5258
17/03/2003,1903.53942,379.9679,379.9679,379.9679,379.9679,679.984,379.9679,679.984,2412.571,379.9679,2412.571,379.9679,379.9679,379.9679
18/03/2003,1912.01544,381.4212,381.4212,381.4212,381.4212,683.6385,381.4212,683.6385,2426.034,381.4212,2426.034,381.4212,381.4212,381.4212
19/03/2003,1926.98725,384.7095,384.7095,384.7095,384.7095,686.3903,384.7095,686.3903,2431.068,384.7095,2431.068,384.7095,384.7095,384.7095
20/03/2003,1932.15761,386.1061,386.1061,386.1061,386.1061,690.6108,386.1061,690.6108,2443.418,386.1061,2443.418,386.1061,386.1061,386.1061
21/03/2003,1976.54598,394.9082,394.9082,394.9082,394.9082,706.4458,394.9082,706.4458,2484.384,394.9082,2484.384,394.9082,394.9082,394.9082
24/03/2003,1908.13782,381.6978,381.6978,381.6978,381.6978,683.8876,381.6978,683.8876,2425.424,381.6978,2425.424,381.6978,381.6978,381.6978
25/03/2003,1931.17794,385.5424,385.5424,385.5424,385.5424,690.4874,385.5424,690.4874,2450.49,385.5424,2450.49,385.5424,385.5424,385.5424
26/03/2003,1921.07027,383.75,383.75,383.75,383.75,686.8873,383.75,686.8873,2421.78,383.75,2421.78,383.75,383.75,383.75
